price,room_type,address_japanese,shiku,townpart,detailpart
16071.0,Entire home apt,杉並区西荻北3丁目−5−６三周ハイツ,杉並区,杉並区西荻北3丁目,−5−６三周ハイツ
4600.0,Entire home apt,杉並区西荻北3丁目−5−６三周ハイツ,杉並区,杉並区西荻北3丁目,−5−６三周ハイツ
18071.0,Entire home apt,昭島市玉川町4丁目9-3,昭島市,昭島市玉川町4丁目,9-3
9082.0,Private room,東村山市恩多町４丁目−３４−２,東村山市,東村山市恩多町４丁目,−３４−２
4071.0,Private room,文京区根津2丁目32-2,文京区,文京区根津2丁目,32-2
10514.0,Entire home apt,北区上十条3丁目−11−２ドリームハウス２,北区,北区上十条3丁目,−11−２ドリームハウス２
12200.0,Entire home apt,足立区竹ノ塚1丁目24-2,足立区,足立区竹ノ塚1丁目,24-2
22243.0,Entire home apt,日野市栄町２丁目−３１−８,日野市,日野市栄町２丁目,−３１−８
8506.0,Entire home apt,台東区根岸3丁目−5平子ビル,台東区,台東区根岸3丁目,−5平子ビル
12200.0,Entire home apt,足立区竹ノ塚1丁目−32−11オザリア竹ノ塚,足立区,足立区竹ノ塚1丁目,−32−11オザリア竹ノ塚
23571.0,Private room,三鷹市大沢2丁目2-8,三鷹市,三鷹市大沢2丁目,2-8
6266.0,Entire home apt,足立区竹ノ塚1丁目−25竹の塚1-25-25102,足立区,足立区竹ノ塚1丁目,−25竹の塚1-25-25102
46714.0,Entire home apt,板橋区成増4丁目−4−２ハイツカヤマ,板橋区,板橋区成増4丁目,−4−２ハイツカヤマ
10091.0,Entire home apt,渋谷区広尾5丁目−4−７サンパティーク2階,渋谷区,渋谷区広尾5丁目,−4−７サンパティーク2階
6000.0,Entire home apt,三鷹市大沢2丁目2-8,三鷹市,三鷹市大沢2丁目,2-8
25571.0,Entire home apt,東村山市恩多町３丁目−１２−７,東村山市,東村山市恩多町３丁目,−１２−７
4214.0,Private room,中野区上鷺宮3丁目13-1,中野区,中野区上鷺宮3丁目,13-1
6000.0,Entire home apt,日野市栄町１丁目−２２−９７,日野市,日野市栄町１丁目,−２２−９７
10000.0,Entire home apt,台東区東浅草１丁目−１７−８ザチェリークレスト,台東区,台東区東浅草１丁目,−１７−８ザチェリークレスト
9963.0,Entire home apt,目黒区八雲3丁目7-20,目黒区,目黒区八雲3丁目,7-20
6800.0,Entire home apt,豊島区長崎4丁目23-18,豊島区,豊島区長崎4丁目,23-18
26217.0,Entire home apt,板橋区成増3丁目15-4,板橋区,板橋区成増3丁目,15-4
7700.0,Entire home apt,新宿区百人町1丁目25-14-101,新宿区,新宿区百人町1丁目,25-14-101
14000.0,Entire home apt,台東区龍泉2丁目−20−15都築ビル2階,台東区,台東区龍泉2丁目,−20−15都築ビル2階
27000.0,Entire home apt,港区白金台3丁目13-27白金台3丁目運動場,港区,港区白金台3丁目,13-27白金台3丁目運動場
13143.0,Entire home apt,八王子市狭間町1754-2,八王子市,,八王子市狭間町1754-2
20000.0,Entire home apt,足立区沖野2丁目20-21,足立区,足立区沖野2丁目,20-21
17571.0,Entire home apt,北区上十条3丁目−11−２ドリームハウス２,北区,北区上十条3丁目,−11−２ドリームハウス２
10600.0,Entire home apt,目黒区目黒本町3丁目−12−19ダイアパレス目黒本町,目黒区,目黒区目黒本町3丁目,−12−19ダイアパレス目黒本町
8014.0,Private room,渋谷区西原1丁目31-11,渋谷区,渋谷区西原1丁目,31-11
14614.0,Entire home apt,葛飾区立石8丁目9-1,葛飾区,葛飾区立石8丁目,9-1
12857.0,Entire home apt,墨田区向島5丁目20-5,墨田区,墨田区向島5丁目,20-5
8286.0,Entire home apt,渋谷区幡ヶ谷2丁目44-1,渋谷区,渋谷区幡ヶ谷2丁目,44-1
12857.0,Entire home apt,墨田区東向島1丁目−26−10三浦医院,墨田区,墨田区東向島1丁目,−26−10三浦医院
27000.0,Entire home apt,江東区海辺1-1,江東区,,江東区海辺1-1
12857.0,Entire home apt,墨田区向島5丁目12-4,墨田区,墨田区向島5丁目,12-4
10000.0,Entire home apt,渋谷区幡ヶ谷3丁目−12−８シャーメゾン幡ヶ谷,渋谷区,渋谷区幡ヶ谷3丁目,−12−８シャーメゾン幡ヶ谷
12429.0,Entire home apt,台東区根岸５丁目１９−６三ノ輪駅,台東区,台東区根岸５丁目,１９−６三ノ輪駅
8571.0,Entire home apt,杉並区西荻北3丁目−5−６三周ハイツ,杉並区,杉並区西荻北3丁目,−5−６三周ハイツ
14714.0,Entire home apt,渋谷区幡ヶ谷3丁目−19−19番2ファミリーマート幡ヶ谷三丁目店,渋谷区,渋谷区幡ヶ谷3丁目,−19−19番2ファミリーマート幡ヶ谷三丁目店
5000.0,Private room,北区上十条2丁目5-13,北区,北区上十条2丁目,5-13
6500.0,Private room,江戸川区北小岩2丁目21-16,江戸川区,江戸川区北小岩2丁目,21-16
19573.0,Entire home apt,中野区上鷺宮3丁目17富士見台駅,中野区,中野区上鷺宮3丁目,17富士見台駅
10091.0,Entire home apt,新宿区大久保2丁目13-16,新宿区,新宿区大久保2丁目,13-16
6500.0,Entire home apt,台東区根岸2丁目13-1,台東区,台東区根岸2丁目,13-1
5500.0,Private room,江東区海辺19-16,江東区,,江東区海辺19-16
7800.0,Entire home apt,杉並区高円寺北2丁目2-4,杉並区,杉並区高円寺北2丁目,2-4
5980.0,Shared room,新宿区大久保1丁目12-11,新宿区,新宿区大久保1丁目,12-11
5450.0,Private room,渋谷区西原1丁目25-4,渋谷区,渋谷区西原1丁目,25-4
34800.0,Entire home apt,文京区根津2丁目−34−15藍染保育園,文京区,文京区根津2丁目,−34−15藍染保育園
9846.0,Entire home apt,渋谷区富ヶ谷2丁目−14−６伸和ビル,渋谷区,渋谷区富ヶ谷2丁目,−14−６伸和ビル
12286.0,Entire home apt,中野区上鷺宮3丁目9-4,中野区,中野区上鷺宮3丁目,9-4
10091.0,Entire home apt,江東区扇橋2丁目−4−４Y2ビル,江東区,江東区扇橋2丁目,−4−４Y2ビル
9264.0,Entire home apt,渋谷区富ヶ谷2丁目−14−６伸和ビル,渋谷区,渋谷区富ヶ谷2丁目,−14−６伸和ビル
7537.0,Private room,板橋区上板橋2丁目19-8,板橋区,板橋区上板橋2丁目,19-8
10091.0,Entire home apt,中野区上鷺宮3丁目9番地上鷺児童遊園,中野区,中野区上鷺宮3丁目,9番地上鷺児童遊園
10091.0,Entire home apt,練馬区貫井1丁目47-1,練馬区,練馬区貫井1丁目,47-1
7880.0,Private room,新宿区新宿5丁目10-14,新宿区,新宿区新宿5丁目,10-14
8251.0,Private room,練馬区北町1丁目21-3,練馬区,練馬区北町1丁目,21-3
10000.0,Entire home apt,杉並区西荻南2丁目−17−14スティーブズ,杉並区,杉並区西荻南2丁目,−17−14スティーブズ
23168.0,Entire home apt,新宿区四谷3丁目9,新宿区,新宿区四谷3丁目,9
10688.0,Entire home apt,練馬区錦1丁目40,練馬区,練馬区錦1丁目,40
4300.0,Entire home apt,江戸川区平井3丁目3-1,江戸川区,江戸川区平井3丁目,3-1
25000.0,Entire home apt,葛飾区東新小岩5丁目21-7,葛飾区,葛飾区東新小岩5丁目,21-7
11000.0,Entire home apt,杉並区阿佐谷南2丁目16-2,杉並区,杉並区阿佐谷南2丁目,16-2
9500.0,Entire home apt,杉並区高円寺南4丁目40-2,杉並区,杉並区高円寺南4丁目,40-2
7800.0,Entire home apt,練馬区貫井1丁目−47−９フラットかなえ,練馬区,練馬区貫井1丁目,−47−９フラットかなえ
28000.0,Entire home apt,豊島区池袋2丁目39番5号,豊島区,豊島区池袋2丁目,39番5号
10091.0,Entire home apt,港区芝公園2丁目3-7,港区,港区芝公園2丁目,3-7
25000.0,Entire home apt,杉並区阿佐ヶ谷北2丁目−15−18第一横川ビル1階,杉並区,杉並区阿佐ヶ谷北2丁目,−15−18第一横川ビル1階
10091.0,Entire home apt,江東区扇橋2丁目−4−４Y2ビル,江東区,江東区扇橋2丁目,−4−４Y2ビル
2873.0,Shared room,新宿区百人町1丁目21-8205,新宿区,新宿区百人町1丁目,21-8205
16429.0,Entire home apt,世田谷区羽根木1丁目−21−18カレッジスクエア東松原,世田谷区,世田谷区羽根木1丁目,−21−18カレッジスクエア東松原
24214.0,Entire home apt,江東区扇橋2丁目−4−４Y2ビル,江東区,江東区扇橋2丁目,−4−４Y2ビル
9500.0,Private room,中野区上鷺宮３丁目−９−１９中野区立かみさぎ児童館,中野区,中野区上鷺宮３丁目,−９−１９中野区立かみさぎ児童館
10000.0,Entire home apt,港区麻布十番2丁目4-15,港区,港区麻布十番2丁目,4-15
2828.0,Shared room,町田市玉川学園1丁目1-26,町田市,町田市玉川学園1丁目,1-26
5000.0,Entire home apt,大田区千鳥2丁目−27−10メゾン・ド・シュウ,大田区,大田区千鳥2丁目,−27−10メゾン・ド・シュウ
4429.0,Entire home apt,文京区根津2丁目−22−３ＨｏｐｉショップＳｕｎ＆Ｒａｉｎ,文京区,文京区根津2丁目,−22−３ＨｏｐｉショップＳｕｎ＆Ｒａｉｎ
5300.0,Private room,日野市栄町２丁目−２８−１７アムールオオカサ,日野市,日野市栄町２丁目,−２８−１７アムールオオカサ
4700.0,Entire home apt,江戸川区平井3丁目1-10,江戸川区,江戸川区平井3丁目,1-10
15000.0,Entire home apt,日野市南平１丁目−３６−１ベストライフ日野,日野市,日野市南平１丁目,−３６−１ベストライフ日野
6400.0,Entire home apt,東村山市多摩湖町３丁目−８−２５,東村山市,東村山市多摩湖町３丁目,−８−２５
9171.0,Entire home apt,北区滝野川6丁目14-3,北区,北区滝野川6丁目,14-3
29829.0,Entire home apt,台東区蔵前3丁目21-5,台東区,台東区蔵前3丁目,21-5
4980.0,Entire home apt,町田市玉川学園7丁目1-25,町田市,町田市玉川学園7丁目,1-25
6107.0,Private room,江東区扇橋2丁目−4−４Y2ビル,江東区,江東区扇橋2丁目,−4−４Y2ビル
5391.0,Private room,江東区扇橋2丁目−4−４Y2ビル,江東区,江東区扇橋2丁目,−4−４Y2ビル
8251.0,Private room,練馬区北町1丁目21-3,練馬区,練馬区北町1丁目,21-3
1655.0,Shared room,江東区扇橋2丁目−4−４Y2ビル,江東区,江東区扇橋2丁目,−4−４Y2ビル
5213.0,Private room,葛飾区金町4丁目8-12,葛飾区,葛飾区金町4丁目,8-12
2650.0,Shared room,江東区扇橋2丁目−4−４Y2ビル,江東区,江東区扇橋2丁目,−4−４Y2ビル
28833.0,Entire home apt,東村山市多摩湖町４丁目−２６−８,東村山市,東村山市多摩湖町４丁目,−２６−８
14514.0,Entire home apt,府中市紅葉ヶ丘3丁目−２０−１０テコミュ・ユー,府中市,府中市紅葉ヶ丘3丁目,−２０−１０テコミュ・ユー
4929.0,Entire home apt,板橋区南常盤台2丁目2-12,板橋区,板橋区南常盤台2丁目,2-12
97800.0,Private room,杉並区和泉4丁目17-37,杉並区,杉並区和泉4丁目,17-37
3500.0,Private room,北区上十条2丁目5-13,北区,北区上十条2丁目,5-13
4800.0,Private room,北区上十条2丁目−5−9イートンハウス,北区,北区上十条2丁目,−5−9イートンハウス
4200.0,Private room,杉並区阿佐谷南3丁目17-8,杉並区,杉並区阿佐谷南3丁目,17-8
12857.0,Entire home apt,墨田区向島5丁目−15−10バームハイツ隅田公園,墨田区,墨田区向島5丁目,−15−10バームハイツ隅田公園
14000.0,Private room,足立区西新井6丁目18-11,足立区,足立区西新井6丁目,18-11
15071.0,Entire home apt,杉並区和泉3丁目−50−３グリーンパレス,杉並区,杉並区和泉3丁目,−50−３グリーンパレス
13289.0,Entire home apt,新宿区大久保１丁目−７日韓マンション,新宿区,新宿区大久保１丁目,−７日韓マンション
19857.0,Entire home apt,豊島区南大塚1丁目51-5,豊島区,豊島区南大塚1丁目,51-5
25286.0,Entire home apt,新宿区百人町1丁目−11−３０成田マンション,新宿区,新宿区百人町1丁目,−11−３０成田マンション
16212.0,Entire home apt,豊島区目白2丁目−28−11滝ビル,豊島区,豊島区目白2丁目,−28−11滝ビル
13429.0,Entire home apt,北区上十条3丁目−11−２ドリームハウス２,北区,北区上十条3丁目,−11−２ドリームハウス２
10971.0,Entire home apt,世田谷区北沢2丁目11-17,世田谷区,世田谷区北沢2丁目,11-17
49015.0,Entire home apt,新宿区百人町2丁目2-32,新宿区,新宿区百人町2丁目,2-32
5767.0,Private room,町田市南大谷1426-17,町田市,,町田市南大谷1426-17
4924.0,Shared room,町田市能ヶ谷4丁目9-28,町田市,町田市能ヶ谷4丁目,9-28
3643.0,Private room,中央区日本橋小舟町12−７日本橋ＭＭビル,中央区,,中央区日本橋小舟町12−７日本橋ＭＭビル
5156.0,Shared room,中央区日本橋本町3丁目−6−５スカイコート三越前壱番館,中央区,中央区日本橋本町3丁目,−6−５スカイコート三越前壱番館
4000.0,Private room,文京区小石川5丁目−41−３第一増田ビル,文京区,文京区小石川5丁目,−41−３第一増田ビル
4582.0,Shared room,杉並区阿佐谷南3丁目17-8,杉並区,杉並区阿佐谷南3丁目,17-8
4000.0,Private room,中央区日本橋本町１丁目−５−９日本橋ライフサイエンスビルディング10１階,中央区,中央区日本橋本町１丁目,−５−９日本橋ライフサイエンスビルディング10１階
9980.0,Private room,世田谷区代沢4丁目16-9,世田谷区,世田谷区代沢4丁目,16-9
2886.0,Entire home apt,荒川区東日暮里4丁目7,荒川区,荒川区東日暮里4丁目,7
7286.0,Entire home apt,荒川区東日暮里4丁目7,荒川区,荒川区東日暮里4丁目,7
2871.0,Entire home apt,板橋区南常盤台2丁目24-16,板橋区,板橋区南常盤台2丁目,24-16
5000.0,Private room,品川区西品川2丁目1-10,品川区,品川区西品川2丁目,1-10
5196.0,Private room,台東区根岸2丁目13-2,台東区,台東区根岸2丁目,13-2
14286.0,Entire home apt,墨田区向島5丁目38-3,墨田区,墨田区向島5丁目,38-3
12857.0,Entire home apt,台東区西浅草3丁目20-5,台東区,台東区西浅草3丁目,20-5
5423.0,Private room,板橋区常盤台3丁目19-2,板橋区,板橋区常盤台3丁目,19-2
5100.0,Entire home apt,小平市鈴木町2丁目137,小平市,小平市鈴木町2丁目,137
4000.0,Private room,杉並区阿佐谷南3丁目17番８号,杉並区,杉並区阿佐谷南3丁目,17番８号
10091.0,Entire home apt,渋谷区広尾4丁目3番地,渋谷区,渋谷区広尾4丁目,3番地
35000.0,Entire home apt,多摩市落川1360-12,多摩市,,多摩市落川1360-12
9310.0,Private room,練馬区貫井1丁目29-22,練馬区,練馬区貫井1丁目,29-22
25949.0,Entire home apt,板橋区大山町1−７一力寿司,板橋区,,板橋区大山町1−７一力寿司
10014.0,Entire home apt,世田谷区大原2丁目−8−７水越ハウス,世田谷区,世田谷区大原2丁目,−8−７水越ハウス
6000.0,Private room,練馬区北町1丁目7-6,練馬区,練馬区北町1丁目,7-6
6041.0,Entire home apt,大田区中馬込2丁目−16−７ブルーム馬込,大田区,大田区中馬込2丁目,−16−７ブルーム馬込
13800.0,Entire home apt,港区南青山4丁目12-10,港区,港区南青山4丁目,12-10
9657.0,Entire home apt,板橋区大山金内町38-10,板橋区,,板橋区大山金内町38-10
4000.0,Private room,墨田区吾妻橋1丁目−22−13大塚ビル,墨田区,墨田区吾妻橋1丁目,−22−13大塚ビル
13000.0,Entire home apt,杉並区阿佐谷南3丁目17-8,杉並区,杉並区阿佐谷南3丁目,17-8
3500.0,Private room,新宿区西新宿5丁目23-7,新宿区,新宿区西新宿5丁目,23-7
17579.0,Entire home apt,杉並区阿佐谷南3丁目17-8,杉並区,杉並区阿佐谷南3丁目,17-8
13371.0,Entire home apt,葛飾区東立石4丁目35-6,葛飾区,葛飾区東立石4丁目,35-6
10091.0,Entire home apt,品川区東大井2丁目24-1,品川区,品川区東大井2丁目,24-1
4600.0,Shared room,中野市大和町3丁目1-5,中野市,中野市大和町3丁目,1-5
13387.0,Entire home apt,葛飾区東立石4丁目15-9,葛飾区,葛飾区東立石4丁目,15-9
13000.0,Entire home apt,品川区東大井2丁目24-1,品川区,品川区東大井2丁目,24-1
12514.0,Entire home apt,渋谷区西原1丁目37-9,渋谷区,渋谷区西原1丁目,37-9
9029.0,Entire home apt,杉並区和田1丁目34-5,杉並区,杉並区和田1丁目,34-5
23086.0,Entire home apt,豊島区南池袋2丁目−16−12藤井ビル,豊島区,豊島区南池袋2丁目,−16−12藤井ビル
8071.0,Entire home apt,渋谷区恵比寿南2丁目8-3,渋谷区,渋谷区恵比寿南2丁目,8-3
14500.0,Entire home apt,杉並区西荻北3丁目−5−６三周ハイツ,杉並区,杉並区西荻北3丁目,−5−６三周ハイツ
13429.0,Entire home apt,渋谷区西原1丁目27-6,渋谷区,渋谷区西原1丁目,27-6
9857.0,Private room,文京区千駄木3丁目−37−11金吉ビル,文京区,文京区千駄木3丁目,−37−11金吉ビル
40000.0,Entire home apt,中野市大和町3丁目1-5,中野市,中野市大和町3丁目,1-5
8000.0,Private room,港区南青山4丁目1番6号,港区,港区南青山4丁目,1番6号
22943.0,Entire home apt,新宿区西新宿4丁目13-2,新宿区,新宿区西新宿4丁目,13-2
7986.0,Entire home apt,品川区西品川3丁目−13−17牛丸コーポ,品川区,品川区西品川3丁目,−13−17牛丸コーポ
13943.0,Entire home apt,墨田区業平5丁目10-6,墨田区,墨田区業平5丁目,10-6
5767.0,Private room,豊島区駒込2丁目9-11,豊島区,豊島区駒込2丁目,9-11
19256.0,Entire home apt,渋谷区幡ヶ谷2丁目2-5-4,渋谷区,渋谷区幡ヶ谷2丁目,2-5-4
10000.0,Entire home apt,狛江市東泉2丁目20-15,狛江市,狛江市東泉2丁目,20-15
34000.0,Entire home apt,豊島区池袋本町2丁目−10−１豊島学院高等学校,豊島区,豊島区池袋本町2丁目,−10−１豊島学院高等学校
30383.0,Entire home apt,港区西新橋1丁目22-4,港区,港区西新橋1丁目,22-4
29829.0,Entire home apt,世田谷区代沢4丁目16-9,世田谷区,世田谷区代沢4丁目,16-9
11980.0,Private room,台東区浅草橋3丁目4-4,台東区,台東区浅草橋3丁目,4-4
17686.0,Entire home apt,新宿区西新宿8丁目−12−１地下鉄丸ノ内線西新宿駅前(1番出口),新宿区,新宿区西新宿8丁目,−12−１地下鉄丸ノ内線西新宿駅前(1番出口)
45000.0,Entire home apt,世田谷区代田6丁目32-5,世田谷区,世田谷区代田6丁目,32-5
4429.0,Private room,町田市鶴川６丁目−７−２町田警察署鶴川交番,町田市,町田市鶴川６丁目,−７−２町田警察署鶴川交番
16286.0,Entire home apt,新宿区西新宿6丁目11-26,新宿区,新宿区西新宿6丁目,11-26
10000.0,Entire home apt,江戸川区北小岩4丁目38-16,江戸川区,江戸川区北小岩4丁目,38-16
14700.0,Entire home apt,中野区東中野3丁目2-12,中野区,中野区東中野3丁目,2-12
16000.0,Entire home apt,豊島区池袋2丁目39番5号,豊島区,豊島区池袋2丁目,39番5号
14714.0,Entire home apt,渋谷区東2丁目20-7,渋谷区,渋谷区東2丁目,20-7
8143.0,Entire home apt,世田谷区太子堂2丁目4-8-2,世田谷区,世田谷区太子堂2丁目,4-8-2
6857.0,Private room,渋谷区幡ヶ谷2丁目2-5-4,渋谷区,渋谷区幡ヶ谷2丁目,2-5-4
15857.0,Entire home apt,品川区西五反田5丁目−30−19ハイタウン目黒,品川区,品川区西五反田5丁目,−30−19ハイタウン目黒
25479.0,Entire home apt,荒川区東日暮里4丁目7,荒川区,荒川区東日暮里4丁目,7
8286.0,Entire home apt,新宿区北新宿2丁目21-18,新宿区,新宿区北新宿2丁目,21-18
9714.0,Entire home apt,新宿区大久保2丁目25-2-25,新宿区,新宿区大久保2丁目,25-2-25
28714.0,Entire home apt,板橋区大山金井町38-9,板橋区,,板橋区大山金井町38-9
2886.0,Entire home apt,渋谷区幡ヶ谷2丁目2-5-4,渋谷区,渋谷区幡ヶ谷2丁目,2-5-4
33571.0,Entire home apt,中野市若宮１丁目−４−１２日本銀行洗心寮,中野市,中野市若宮１丁目,−４−１２日本銀行洗心寮
4643.0,Private room,世田谷区代沢4丁目16-9,世田谷区,世田谷区代沢4丁目,16-9
128000.0,Entire home apt,墨田区押上2丁目22-4,墨田区,墨田区押上2丁目,22-4
29829.0,Entire home apt,台東区浅草橋3丁目10-8,台東区,台東区浅草橋3丁目,10-8
3429.0,Private room,台東区鳥越1丁目1-1,台東区,台東区鳥越1丁目,1-1
29829.0,Entire home apt,台東区浅草橋5丁目−28−８メインステージ浅草橋,台東区,台東区浅草橋5丁目,−28−８メインステージ浅草橋
19743.0,Entire home apt,調布市布田2丁目−２９−７,調布市,調布市布田2丁目,−２９−７
9657.0,Entire home apt,渋谷区西原1丁目28-4,渋谷区,渋谷区西原1丁目,28-4
29000.0,Entire home apt,台東区浅草4丁目−1−６ドムス・スタイル浅草,台東区,台東区浅草4丁目,−1−６ドムス・スタイル浅草
12000.0,Entire home apt,渋谷区西原1丁目23-1,渋谷区,渋谷区西原1丁目,23-1
11714.0,Entire home apt,品川区戸越5丁目14-10,品川区,品川区戸越5丁目,14-10
5000.0,Private room,葛飾区高砂1丁目14-9,葛飾区,葛飾区高砂1丁目,14-9
35814.0,Entire home apt,墨田区吾妻橋1丁目−22−13大塚ビル,墨田区,墨田区吾妻橋1丁目,−22−13大塚ビル
19900.0,Entire home apt,豊島区池袋3丁目−59−２Ｌ&#39;ａｔｔｒａｉｔイケブクロ,豊島区,豊島区池袋3丁目,−59−２Ｌ&#39;ａｔｔｒａｉｔイケブクロ
10000.0,Entire home apt,プレミア西戸山新宿区百人町2丁目18-6,プレミア西戸山新宿区,プレミア西戸山新宿区百人町2丁目,18-6
8856.0,Entire home apt,豊島区東池袋3丁目−23−13池袋ＫＳビル,豊島区,豊島区東池袋3丁目,−23−13池袋ＫＳビル
15831.0,Entire home apt,杉並区和泉1丁目1-7,杉並区,杉並区和泉1丁目,1-7
12790.0,Entire home apt,新宿区大久保1丁目5-17,新宿区,新宿区大久保1丁目,5-17
11000.0,Entire home apt,文京区根津2丁目23-5,文京区,文京区根津2丁目,23-5
15500.0,Entire home apt,豊島区東池袋2丁目25-3,豊島区,豊島区東池袋2丁目,25-3
18014.0,Entire home apt,新宿区新宿5丁目−11−４東新宿ビル,新宿区,新宿区新宿5丁目,−11−４東新宿ビル
5622.0,Entire home apt,新宿区大久保1丁目−5東新宿区大久保1−5−5,新宿区,新宿区大久保1丁目,−5東新宿区大久保1−5−5
