idx,listing_id,host_id,host_name,review_scores_rating,bedrooms,beds,bathrooms,region,price,accommodates,minimum_nights
55,709609384341866229,428038217,Stayme,5.0,1.0,1.0,1 bath,Sumida Ku,"$7,444.00",2,2
56,709686462388545781,478344167,Akashi,5.0,nan,1.0,1 shared bath,Koganei Shi,"$18,000.00",2,1
57,30238952,178381195,Msk,5.0,nan,nan,1 shared bath,Shinjuku Ku,"$6,551.00",2,2
58,30237257,195984871,Shirley,5.0,1.0,2.0,1 bath,Ota Ku,"$12,214.00",2,2
59,721915590416420676,20151567,Aya,5.0,nan,4.0,1.5 baths,Chofu Shi,"$27,857.00",4,1
60,722083757012905159,255274063,宅東,5.0,1.0,1.0,1 private bath,Taito Ku,"$9,566.00",2,2
61,722707196858378375,32559975,Tsukasa,5.0,1.0,2.0,1 bath,Musashino Shi,"$14,000.00",3,5
62,722724590707991434,480673998,Lund,5.0,nan,1.0,1 bath,Meguro Ku,"$8,000.00",2,3
63,724239369071147329,255274063,宅東,5.0,1.0,1.0,1 private bath,Taito Ku,"$10,091.00",2,2
64,745849930217054040,484339653,Hotel MONday Premium 上野御徒町,5.0,nan,4.0,1 private bath,Taito Ku,"$26,950.00",4,1
65,747288579416465005,227902842,舜日,5.0,1.0,4.0,1 bath,Toshima Ku,"$19,221.00",6,2
66,669162246133866654,462983474,Stayme,5.0,1.0,1.0,1 bath,Shinjuku Ku,"$7,444.00",2,2
67,760509469736742343,260500960,Hotel MONday 羽田空港,5.0,1.0,2.0,1 private bath,Ota Ku,"$16,936.00",2,1
68,29226210,178381195,Msk,5.0,nan,8.0,1 shared bath,Shinjuku Ku,"$5,980.00",8,2
69,760516899402933772,260500960,Hotel MONday 羽田空港,5.0,1.0,2.0,1 private bath,Ota Ku,"$17,486.00",2,1
70,761908217328693578,431190584,Stayme,5.0,1.0,1.0,1 bath,Sumida Ku,"$6,691.00",2,2
71,761916273087317068,484346106,Stayme,5.0,1.0,2.0,1 bath,Sumida Ku,"$12,276.00",3,2
72,761923330473727853,484346106,Stayme,5.0,1.0,2.0,1 bath,Sumida Ku,"$12,276.00",4,2
73,761924201229672226,484346106,Stayme,5.0,1.0,1.0,1 bath,Sumida Ku,"$7,869.00",3,2
74,761925131814710996,484346106,Stayme,5.0,1.0,2.0,1 bath,Sumida Ku,"$12,276.00",4,2
75,761950898980057483,484345280,Stayme,5.0,2.0,2.0,1 bath,Shibuya Ku,"$8,536.00",3,2
76,29173314,219597222,Yuusuke,5.0,nan,1.0,2 shared baths,Ota Ku,"$4,000.00",1,1
77,29172218,219597222,Yuusuke,5.0,nan,1.0,2 shared baths,Ota Ku,"$4,000.00",1,1
78,761952397480680562,484345280,Stayme,5.0,1.0,2.0,1 bath,Shibuya Ku,"$8,536.00",3,2
79,761973155159616668,486821578,Stayme,5.0,1.0,1.0,1 bath,Sumida Ku,"$7,055.00",2,2
80,761976610955257560,486821578,Stayme,5.0,1.0,2.0,1 bath,Sumida Ku,"$7,055.00",3,2
81,761983158386812421,486821578,Stayme,5.0,1.0,3.0,1 bath,Sumida Ku,"$16,332.00",6,2
82,762117405569487371,63598456,Spring,5.0,2.0,6.0,1 bath,Katsushika Ku,"$150,000.00",12,1
