user_id,review_scores_rating,bedrooms,beds,bathrooms,region,price,accommodates,minimum_nights
86,5.0,1.0,3.0,3 baths,Sumida Ku,24000.00,6,2
87,5.0,1.0,3.0,2 baths,Sumida Ku,20714.00,6,2
88,5.0,2.0,2.0,1 bath,Sumida Ku,22286.00,6,4
89,5.0,nan,1.0,1.5 baths,Koto Ku,10000.00,2,5
90,5.0,1.0,1.0,1 bath,Shinjuku Ku,9714.00,3,3
91,5.0,nan,2.0,1.5 baths,Koto Ku,12460.00,2,5
92,5.0,1.0,1.0,1 bath,Akiruno Shi,5043.00,2,1
93,5.0,1.0,2.0,1 bath,Sumida Ku,15277.00,4,2
94,5.0,1.0,1.0,1 bath,Koto Ku,8157.00,2,2
95,5.0,1.0,2.0,1 bath,Koto Ku,11933.00,3,4
96,5.0,1.0,2.0,1 shared bath,Taito Ku,9999.00,2,1
97,5.0,nan,1.0,1.5 shared baths,Suginami Ku,5500.00,2,7
98,5.0,1.0,1.0,1 shared bath,Edogawa Ku,12650.00,2,1
99,5.0,nan,1.0,1 shared bath,Nerima Ku,8229.00,2,1
100,5.0,1.0,1.0,1 private bath,Ota Ku,13636.00,1,1
101,5.0,1.0,2.0,1 bath,Itabashi Ku,4800.00,2,3
102,5.0,1.0,1.0,1 bath,Shinagawa Ku,9269.00,2,2
103,5.0,nan,1.0,1 private bath,Ota Ku,7571.00,3,2
104,5.0,1.0,3.0,1 bath,Taito Ku,54143.00,6,1
105,5.0,1.0,1.0,1 bath,Toshima Ku,9396.00,3,1
106,5.0,1.0,2.0,1 bath,Sumida Ku,10643.00,3,2
107,5.0,nan,1.0,1.5 shared baths,Minato Ku,6600.00,2,2
108,5.0,1.0,6.0,3.5 shared baths,Suginami Ku,22286.00,6,1
109,5.0,2.0,4.0,1 bath,Shinjuku Ku,26543.00,4,2
110,5.0,1.0,2.0,1 bath,Nakano Ku,7990.00,3,2
111,5.0,1.0,4.0,1 bath,Taito Ku,18141.00,4,2
112,5.0,1.0,4.0,1 bath,Taito Ku,18664.00,4,2
113,5.0,1.0,2.0,1 bath,Chiyoda Ku,18571.00,4,1
114,5.0,nan,nan,1 shared bath,Okutama Machi,14143.00,5,1
115,5.0,nan,5.0,1 shared bath,Okutama Machi,14143.00,2,1
116,5.0,nan,1.0,2 shared baths,Sumida Ku,2500.00,1,2
117,5.0,1.0,1.0,1 private bath,Toshima Ku,13994.00,2,1
118,5.0,1.0,1.0,1 private bath,Toshima Ku,13994.00,2,1
119,5.0,1.0,2.0,1 bath,Suginami Ku,9600.00,3,7
120,5.0,1.0,1.0,1 private bath,Toshima Ku,13994.00,2,1
121,5.0,1.0,1.0,1 bath,Toshima Ku,6120.00,2,2
122,5.0,1.0,1.0,1 shared bath,Koto Ku,13467.00,2,1
123,5.0,1.0,1.0,1 shared bath,Koto Ku,14017.00,2,1
124,5.0,1.0,3.0,1 shared bath,Koto Ku,15667.00,3,1
125,5.0,1.0,2.0,1 shared bath,Koto Ku,14567.00,2,1
126,5.0,1.0,2.0,1 shared bath,Koto Ku,15942.00,2,1
