user_id,region,price,accommodates,minimum_nights
161,Toshima Ku,9714.00,5,2
162,Nakano Ku,8857.00,2,2
163,Shinjuku Ku,16212.00,5,2
164,Kita Ku,20000.00,6,20
165,Taito Ku,6314.00,3,2
166,Ota Ku,6059.00,4,2
167,Sumida Ku,13329.00,3,1
168,Suginami Ku,26000.00,6,2
169,Shinjuku Ku,6771.00,2,1
170,Shinjuku Ku,98428.00,2,1
171,Taito Ku,35000.00,10,2
172,Shinjuku Ku,19500.00,4,1
173,Taito Ku,34857.00,6,1
174,Shibuya Ku,7714.00,2,4
175,Taito Ku,10929.00,2,1
176,Taito Ku,10393.00,2,1
177,Katsushika Ku,10000.00,4,1
178,Toshima Ku,28114.00,8,2
179,Taito Ku,12000.00,2,1
180,Shinjuku Ku,6551.00,1,2
181,Sumida Ku,13857.00,4,1
182,Toshima Ku,4943.00,2,1
183,Toshima Ku,80000.00,4,1
184,Taito Ku,50000.00,1,1
185,Shinjuku Ku,26411.00,3,2
186,Toshima Ku,37000.00,8,1
187,Meguro Ku,6000.00,1,30
188,Shinjuku Ku,14957.00,6,1
189,Taito Ku,7125.00,2,1
190,Shinjuku Ku,16714.00,4,1
191,Shinjuku Ku,12857.00,4,1
192,Taito Ku,44213.00,5,1
193,Setagaya Ku,3852.00,2,2
194,Shinjuku Ku,13000.00,3,1
195,Shinjuku Ku,16698.00,2,1
196,Minato Ku,15743.00,2,2
197,Setagaya Ku,18000.00,2,1
198,Sumida Ku,9357.00,2,1
199,Katsushika Ku,7243.00,3,1
200,Shibuya Ku,80000.00,10,2
201,Shinjuku Ku,16307.00,4,2
202,Nakano Ku,33571.00,6,6
203,Ota Ku,6193.00,2,2
204,Toshima Ku,18178.00,4,1
205,Katsushika Ku,37829.00,10,1
206,Sumida Ku,18000.00,2,1
207,Shinjuku Ku,7793.00,3,2
208,Shinjuku Ku,22663.00,2,1
209,Arakawa Ku,7500.00,4,1
210,Setagaya Ku,7143.00,1,1
211,Shibuya Ku,32786.00,5,1
212,Bunkyo Ku,15414.00,2,1
213,Sumida Ku,13029.00,4,1
214,Minato Ku,20429.00,4,1
215,Chiyoda Ku,14909.00,2,1
216,Shinjuku Ku,74000.00,9,2
217,Toshima Ku,9414.00,2,2
218,Taito Ku,10629.00,2,1
219,Itabashi Ku,13419.00,2,2
220,Taito Ku,29829.00,4,2
221,Taito Ku,8600.00,3,2
222,Setagaya Ku,19241.00,4,1
223,Adachi Ku,8500.00,2,1
224,Sumida Ku,6900.00,2,2
225,Koganei Shi,16500.00,3,1
226,Taito Ku,6375.00,3,2
227,Taito Ku,15994.00,6,1
228,Shinjuku Ku,16500.00,6,1
229,Shinjuku Ku,21086.00,6,2
230,Kita Ku,14129.00,2,1
231,Toshima Ku,9857.00,2,1
232,Taito Ku,8600.00,3,2
233,Shinagawa Ku,6257.00,2,1
234,Shinjuku Ku,75429.00,5,1
235,Taito Ku,15500.00,2,1
236,Shibuya Ku,4400.00,2,1
237,Sumida Ku,5857.00,2,4
238,Toshima Ku,2780.00,1,1
239,Shinjuku Ku,23873.00,3,2
240,Sumida Ku,16800.00,4,1
241,Shinjuku Ku,17150.00,3,1
242,Taito Ku,27297.00,6,1
243,Taito Ku,30000.00,6,2
244,Shinjuku Ku,42571.00,14,2
245,Katsushika Ku,27806.00,16,2
246,Sumida Ku,9829.00,4,2
247,Toshima Ku,7714.00,2,3
248,Shinjuku Ku,24286.00,5,2
249,Sumida Ku,13929.00,6,1
250,Shinjuku Ku,8000.00,2,1
251,Shinjuku Ku,33643.00,4,1
252,Shinagawa Ku,19143.00,2,1
253,Koto Ku,9514.00,3,2
254,Toshima Ku,30704.00,10,1
255,Shinagawa Ku,31097.00,8,2
256,Sumida Ku,24000.00,6,2
257,Kita Ku,12414.00,4,1
258,Setagaya Ku,52029.00,2,1
259,Sumida Ku,20000.00,5,1
260,Shibuya Ku,15381.00,2,1
261,Toshima Ku,8429.00,2,1
262,Taito Ku,11164.00,2,1
263,Taito Ku,17146.00,2,1
264,Nakano Ku,9929.00,4,1
265,Setagaya Ku,20000.00,5,2
266,Katsushika Ku,32943.00,7,1
267,Setagaya Ku,5500.00,1,2
268,Sumida Ku,12009.00,4,2
269,Sumida Ku,15786.00,7,1
270,Shinjuku Ku,10229.00,2,1
271,Minato Ku,13229.00,4,2
272,Shinjuku Ku,31429.00,6,2
273,Shinjuku Ku,13016.00,2,5
274,Shinagawa Ku,16000.00,4,2
275,Meguro Ku,6857.00,2,1
276,Kita Ku,33800.00,10,1
277,Shinjuku Ku,15673.00,3,1
278,Arakawa Ku,13836.00,2,2
279,Sumida Ku,8986.00,2,2
280,Shinjuku Ku,18000.00,3,1
281,Kunitachi Shi,3929.00,1,1
282,Edogawa Ku,6500.00,2,1
283,Toshima Ku,13994.00,2,1
284,Nerima Ku,8251.00,3,1
285,Edogawa Ku,37714.00,6,1
286,Arakawa Ku,8113.00,2,1
287,Setagaya Ku,7691.00,4,29
288,Shibuya Ku,50000.00,3,2
289,Sumida Ku,35990.00,8,2
290,Edogawa Ku,7064.00,4,1
291,Taito Ku,5500.00,1,1
292,Ota Ku,69296.00,16,1
293,Taito Ku,12837.00,4,1
294,Suginami Ku,4000.00,3,3
295,Shinjuku Ku,28214.00,3,2
296,Koto Ku,7654.00,2,2
297,Sumida Ku,5700.00,2,1
298,Shinjuku Ku,23757.00,2,1
299,Suginami Ku,43571.00,6,3
300,Shibuya Ku,26900.00,3,1
301,Shibuya Ku,36000.00,10,1
302,Shibuya Ku,21086.00,2,1
303,Nakano Ku,9000.00,3,1
304,Shinjuku Ku,35000.00,6,1
305,Koto Ku,13286.00,6,1
306,Shinjuku Ku,10471.00,2,1
307,Koganei Shi,13000.00,4,2
308,Taito Ku,34700.00,6,1
309,Ota Ku,14000.00,4,2
