,neighbourhood_cleansed,price,room_type,accommodates,bathrooms_text,bedrooms,beds,review_scores_rating,latitude,longitude,full name
46,Shinjuku Ku,"$6,551.00",Private room,1,1 shared bath,,1.0,4.9,35.69847,139.70432,長崎県 対馬市 湊
47,Suginami Ku,"$7,964.00",Entire home/apt,3,1 bath,1.0,3.0,4.73,35.70293,139.60045,長崎県 対馬市 湊
48,Shibuya Ku,"$23,124.00",Entire home/apt,7,1.5 baths,3.0,5.0,4.88,35.68245,139.69009,長崎県 対馬市 湊
49,Suginami Ku,"$12,000.00",Entire home/apt,2,1 bath,1.0,1.0,4.86,35.70679,139.6551,長崎県 対馬市 湊
50,Suginami Ku,"$12,000.00",Entire home/apt,2,1 bath,1.0,2.0,4.91,35.70686,139.65543,長崎県 対馬市 湊
51,Suginami Ku,"$14,857.00",Entire home/apt,2,1 bath,1.0,1.0,4.86,35.70399,139.59775,長崎県 対馬市 湊
52,Shibuya Ku,"$46,143.00",Entire home/apt,8,1.5 baths,3.0,6.0,4.6,35.64966,139.72181,長崎県 対馬市 湊
53,Higashimurayama Shi,"$43,249.00",Entire home/apt,9,1 bath,2.0,6.0,4.9,35.76577,139.44678,長崎県 対馬市 湊
54,Shibuya Ku,"$15,858.00",Entire home/apt,5,1 bath,2.0,3.0,4.79,35.67813,139.67913,長崎県 対馬市 湊
55,Shinagawa Ku,"$3,589.00",Private room,2,2 shared baths,,2.0,4.39,35.60033,139.73415,長崎県 対馬市 湊
56,Shinagawa Ku,"$30,000.00",Entire home/apt,4,1.5 baths,2.0,4.0,4.84,35.62633,139.7235,長崎県 対馬市 湊
57,Taito Ku,"$38,571.00",Entire home/apt,8,1 bath,2.0,,4.94,35.71431,139.79885,長崎県 対馬市 湊
58,Nakano Ku,"$10,091.00",Entire home/apt,2,1 bath,1.0,1.0,4.72,35.73417,139.63328,長崎県 対馬市 湊
59,Koto Ku,"$10,571.00",Entire home/apt,3,1 bath,1.0,,4.94,35.6806,139.81931,長崎県 対馬市 湊
60,Kokubunji Shi,"$4,964.00",Private room,2,1.5 shared baths,,,4.88,35.70919,139.48074,長崎県 対馬市 湊
61,Suginami Ku,"$16,071.00",Entire home/apt,4,1 bath,1.0,2.0,4.82,35.70399,139.59775,長崎県 対馬市 湊
62,Suginami Ku,"$18,071.00",Entire home/apt,3,1 bath,1.0,1.0,4.57,35.70399,139.59775,長崎県 対馬市 湊
63,Higashimurayama Shi,"$4,071.00",Private room,2,1.5 baths,,2.0,5.0,35.75828,139.48037,長崎県 対馬市 湊
64,Kita Ku,"$10,514.00",Entire home/apt,5,1 bath,1.0,5.0,4.5,35.76111,139.71576,長崎県 対馬市 湊
65,Hino Shi,"$8,506.00",Entire home/apt,3,1 bath,1.0,3.0,4.51,35.68587,139.39428,長崎県 対馬市 湊
66,Mitaka Shi,"$23,571.00",Private room,2,1 private bath,1.0,2.0,5.0,35.680981,139.538055,長崎県 対馬市 湊
67,Nakano Ku,"$10,091.00",Entire home/apt,2,1 bath,1.0,1.0,4.84,35.73414,139.63305,長崎県 対馬市 湊
68,Mitaka Shi,"$25,571.00",Entire home/apt,4,2 baths,2.0,4.0,4.89,35.680981,139.538055,長崎県 対馬市 湊
69,Higashimurayama Shi,"$4,214.00",Private room,2,Shared half-bath,,1.0,4.95,35.75619,139.48071,長崎県 対馬市 湊
70,Hino Shi,"$9,963.00",Entire home/apt,3,1 bath,1.0,3.0,4.45,35.68548,139.39496,長崎県 対馬市 湊
71,Toshima Ku,"$26,217.00",Entire home/apt,5,1 bath,3.0,4.0,4.61,35.73055,139.68657,長崎県 対馬市 湊
72,Taito Ku,"$14,000.00",Entire home/apt,5,1 bath,1.0,2.0,4.95,35.72804,139.79048,長崎県 対馬市 湊
73,Shibuya Ku,"$13,143.00",Entire home/apt,2,1 bath,,1.0,4.61,35.67744,139.68058,長崎県 対馬市 湊
74,Hachioji Shi,"$17,571.00",Entire home/apt,6,1 bath,2.0,2.0,4.85,35.63738,139.2863,長崎県 対馬市 湊
75,Kita Ku,"$10,600.00",Entire home/apt,5,1 bath,1.0,4.0,4.45,35.76117,139.71597,長崎県 対馬市 湊
76,Katsushika Ku,"$14,614.00",Entire home/apt,5,1.5 baths,1.0,5.0,4.93,35.73816,139.85174,長崎県 対馬市 湊
77,Shibuya Ku,"$8,286.00",Entire home/apt,3,1 bath,1.0,2.0,4.6,35.67923,139.67571,長崎県 対馬市 湊
78,Taito Ku,"$27,000.00",Entire home/apt,6,1 bath,2.0,3.0,4.93,35.72951,139.79137,長崎県 対馬市 湊
79,Shibuya Ku,"$10,000.00",Entire home/apt,2,1 bath,1.0,1.0,4.5,35.68068,139.6753,長崎県 対馬市 湊
80,Shibuya Ku,"$8,571.00",Entire home/apt,2,1 bath,1.0,1.0,4.59,35.67933,139.67511,長崎県 対馬市 湊
81,Edogawa Ku,"$6,500.00",Private room,3,1 private bath,,4.0,5.0,35.73673,139.88586,長崎県 対馬市 湊
82,Nakano Ku,"$10,091.00",Entire home/apt,2,1 bath,1.0,1.0,4.81,35.73496,139.63132,長崎県 対馬市 湊
83,Koto Ku,"$6,500.00",Entire home/apt,4,1 bath,2.0,2.0,4.9,35.68162,139.81859,長崎県 対馬市 湊
84,Shinjuku Ku,"$5,980.00",Shared room,8,1 shared bath,,8.0,4.87,35.69872,139.70276,長崎県 対馬市 湊
85,Bunkyo Ku,"$34,800.00",Entire home/apt,7,1 bath,2.0,5.0,4.79,35.72129,139.76323,長崎県 対馬市 湊
86,Shibuya Ku,"$9,846.00",Entire home/apt,4,1 bath,,1.0,4.47,35.66339,139.68741,長崎県 対馬市 湊
87,Nakano Ku,"$10,091.00",Entire home/apt,2,1 bath,1.0,1.0,4.83,35.73404,139.63128,長崎県 対馬市 湊
88,Shibuya Ku,"$9,264.00",Entire home/apt,4,1 bath,,1.0,4.52,35.66339,139.68741,長崎県 対馬市 湊
89,Nakano Ku,"$10,091.00",Entire home/apt,2,1 bath,1.0,1.0,4.83,35.73445,139.63139,長崎県 対馬市 湊
90,Nerima Ku,"$10,091.00",Entire home/apt,2,1 bath,1.0,1.0,4.84,35.73588,139.63159,長崎県 対馬市 湊
91,Shinjuku Ku,"$10,000.00",Entire home/apt,5,1 bath,1.0,4.0,4.94,35.69346,139.70823,長崎県 対馬市 湊
92,Suginami Ku,"$10,688.00",Entire home/apt,2,1 bath,1.0,2.0,4.88,35.70055,139.60022,長崎県 対馬市 湊
93,Suginami Ku,"$11,000.00",Entire home/apt,4,1.5 baths,,2.0,4.45,35.70459,139.63712,長崎県 対馬市 湊
94,Suginami Ku,"$9,500.00",Entire home/apt,2,1 bath,,1.0,4.4,35.70656,139.63583,長崎県 対馬市 湊
95,Nerima Ku,"$10,091.00",Entire home/apt,2,1 bath,1.0,1.0,4.79,35.7359,139.63151,長崎県 対馬市 湊
96,Nakano Ku,"$10,091.00",Entire home/apt,2,1 bath,2.0,1.0,4.78,35.7348,139.63141,長崎県 対馬市 湊
97,Shinjuku Ku,"$16,429.00",Entire home/apt,5,1 bath,1.0,3.0,4.4,35.70035,139.6967,長崎県 対馬市 湊
98,Setagaya Ku,"$9,500.00",Private room,2,1 private bath,,2.0,4.98,35.66432,139.65839,長崎県 対馬市 湊
99,Ota Ku,"$5,000.00",Entire home/apt,3,1 bath,1.0,4.0,4.86,35.56976,139.69158,長崎県 対馬市 湊
100,Bunkyo Ku,"$5,300.00",Private room,4,1 shared bath,,,4.88,35.71934,139.76508,長崎県 対馬市 湊
101,Higashimurayama Shi,"$15,000.00",Entire home/apt,2,1.5 baths,1.0,1.0,4.94,35.76544,139.44477,長崎県 対馬市 湊
102,Kita Ku,"$9,171.00",Entire home/apt,3,1 bath,2.0,2.0,4.69,35.74408,139.72525,長崎県 対馬市 湊
103,Machida Shi,"$4,980.00",Entire home/apt,3,1 bath,1.0,1.0,4.49,35.56134,139.46284,長崎県 対馬市 湊
104,Koto Ku,"$6,107.00",Private room,3,1 shared bath,1.0,1.0,4.58,35.68285,139.81551,長崎県 対馬市 湊
105,Nerima Ku,"$8,251.00",Private room,3,2 shared baths,,1.0,4.72,35.7646,139.66835,長崎県 対馬市 湊
106,Katsushika Ku,"$5,213.00",Private room,4,1 shared bath,2.0,4.0,4.82,35.76776,139.86466,長崎県 対馬市 湊
107,Higashimurayama Shi,"$28,833.00",Entire home/apt,9,1 bath,2.0,2.0,4.97,35.76676,139.44505,長崎県 対馬市 湊
108,Itabashi Ku,"$4,929.00",Entire home/apt,1,1 bath,1.0,2.0,4.94,35.75913,139.68681,長崎県 対馬市 湊
109,Kita Ku,"$3,500.00",Private room,1,2 shared baths,,1.0,4.3,35.75788,139.72151,長崎県 対馬市 湊
110,Kita Ku,"$4,800.00",Private room,2,1.5 shared baths,,2.0,4.52,35.75786,139.72151,長崎県 対馬市 湊
111,Sumida Ku,"$12,857.00",Entire home/apt,2,1 bath,1.0,2.0,4.72,35.71865,139.81069,長崎県 対馬市 湊
112,Toshima Ku,"$15,071.00",Entire home/apt,6,Half-bath,2.0,6.0,4.52,35.73006,139.73093,長崎県 対馬市 湊
113,Suginami Ku,"$19,857.00",Entire home/apt,6,1 bath,1.0,2.0,4.86,35.67951,139.64878,長崎県 対馬市 湊
114,Setagaya Ku,"$13,429.00",Entire home/apt,3,1 bath,1.0,3.0,4.97,35.66106,139.66859,長崎県 対馬市 湊
115,Kita Ku,"$10,971.00",Entire home/apt,5,1 bath,1.0,5.0,4.51,35.76111,139.71576,長崎県 対馬市 湊
116,Machida Shi,"$5,767.00",Private room,2,1 shared bath,,1.0,4.85,35.55057,139.45385,長崎県 対馬市 湊
117,Machida Shi,"$3,643.00",Private room,3,1 shared bath,,,4.97,35.5872,139.48277,長崎県 対馬市 湊
118,Bunkyo Ku,"$4,000.00",Private room,2,1.5 shared baths,,1.0,4.64,35.71773,139.74374,長崎県 対馬市 湊
119,Setagaya Ku,"$9,980.00",Private room,2,1.5 baths,,1.0,4.94,35.65191,139.66968,長崎県 対馬市 湊
120,Shinagawa Ku,"$7,286.00",Entire home/apt,2,1 bath,1.0,1.0,4.74,35.61486,139.726,長崎県 対馬市 湊
121,Taito Ku,"$5,000.00",Private room,1,1 shared bath,,1.0,4.87,35.7242,139.77766,長崎県 対馬市 湊
122,Taito Ku,"$14,286.00",Entire home/apt,6,1 bath,,4.0,4.84,35.7155,139.79083,長崎県 対馬市 湊
123,Sumida Ku,"$12,857.00",Entire home/apt,2,1 bath,1.0,2.0,4.67,35.71818,139.81237,長崎県 対馬市 湊
124,Kodaira Shi,"$5,100.00",Entire home/apt,3,1 bath,2.0,3.0,4.9,35.72576,139.50954,長崎県 対馬市 湊
125,Nerima Ku,"$10,091.00",Entire home/apt,2,1 bath,1.0,1.0,4.76,35.73624,139.63247,長崎県 対馬市 湊
126,Minato Ku,"$27,000.00",Entire home/apt,2,1 bath,1.0,1.0,4.94,35.63612,139.72575,長崎県 対馬市 湊
127,Adachi Ku,"$20,000.00",Entire home/apt,6,3 baths,4.0,4.0,4.64,35.76922,139.77947,長崎県 対馬市 湊
128,Shinagawa Ku,"$8,014.00",Private room,2,1.5 baths,,2.0,4.92,35.62302,139.70141,長崎県 対馬市 湊
129,Sumida Ku,"$12,857.00",Entire home/apt,2,1 bath,1.0,2.0,4.74,35.71848,139.81109,長崎県 対馬市 湊
130,Sumida Ku,"$12,857.00",Entire home/apt,2,1 bath,1.0,4.0,4.74,35.71893,139.81294,長崎県 対馬市 湊
131,Sumida Ku,"$12,857.00",Entire home/apt,2,1 bath,1.0,2.0,4.77,35.72,139.81074,長崎県 対馬市 湊
132,Koto Ku,"$12,429.00",Entire home/apt,5,1 bath,2.0,2.0,4.92,35.67986,139.81736,長崎県 対馬市 湊
133,Suginami Ku,"$14,714.00",Entire home/apt,2,1 bath,1.0,1.0,4.75,35.70402,139.5977,長崎県 対馬市 湊
134,Kita Ku,"$5,000.00",Private room,2,Shared half-bath,,2.0,4.26,35.75788,139.72153,長崎県 対馬市 湊
135,Shinjuku Ku,"$19,573.00",Entire home/apt,4,1.5 baths,2.0,2.0,4.6,35.70159,139.70653,長崎県 対馬市 湊
136,Taito Ku,"$5,500.00",Private room,2,1 shared bath,,2.0,4.9,35.72413,139.77771,長崎県 対馬市 湊
137,Suginami Ku,"$7,800.00",Entire home/apt,2,1 bath,2.0,2.0,4.76,35.70565,139.65262,長崎県 対馬市 湊
138,Koto Ku,"$5,450.00",Private room,2,1 shared bath,1.0,1.0,4.58,35.68288,139.81552,長崎県 対馬市 湊
139,Shibuya Ku,"$12,286.00",Entire home/apt,2,1 bath,,1.0,4.38,35.67681,139.67929,長崎県 対馬市 湊
140,Itabashi Ku,"$7,537.00",Private room,3,2 shared baths,,1.0,4.82,35.76456,139.67015,長崎県 対馬市 湊
141,Nerima Ku,"$7,880.00",Private room,3,3 baths,,1.0,4.93,35.76288,139.66803,長崎県 対馬市 湊
142,Nerima Ku,"$8,251.00",Private room,3,2 shared baths,,2.0,5.0,35.76455,139.66829,長崎県 対馬市 湊
143,Shinjuku Ku,"$23,168.00",Entire home/apt,5,1 bath,2.0,2.0,4.88,35.68804,139.72024,長崎県 対馬市 湊
144,Edogawa Ku,"$4,300.00",Entire home/apt,2,1 bath,1.0,2.0,4.68,35.70208,139.84227,長崎県 対馬市 湊
145,Minato Ku,"$25,000.00",Entire home/apt,5,1 bath,2.0,2.0,4.9,35.65681,139.75271,長崎県 対馬市 湊
146,Suginami Ku,"$7,800.00",Entire home/apt,2,1 bath,2.0,2.0,4.66,35.70522,139.65431,長崎県 対馬市 湊
147,Toshima Ku,"$28,000.00",Entire home/apt,10,1.5 baths,3.0,8.0,4.65,35.73334,139.70837,長崎県 対馬市 湊
148,Katsushika Ku,"$25,000.00",Entire home/apt,12,2 baths,4.0,1.0,4.93,35.72358,139.85843,長崎県 対馬市 湊
149,Koto Ku,"$2,873.00",Shared room,2,0 shared baths,,1.0,4.5,35.68288,139.81552,長崎県 対馬市 湊
150,Minato Ku,"$24,214.00",Entire home/apt,5,1 bath,1.0,3.0,4.83,35.65612,139.73437,長崎県 対馬市 湊
151,Machida Shi,"$10,000.00",Entire home/apt,3,1 bath,3.0,3.0,5.0,35.55741,139.45917,長崎県 対馬市 湊
152,Koto Ku,"$2,828.00",Shared room,2,0 shared baths,,1.0,4.46,35.68288,139.81552,長崎県 対馬市 湊
153,Hino Shi,"$4,429.00",Entire home/apt,3,1 bath,,2.0,4.33,35.66263,139.40793,長崎県 対馬市 湊
154,Edogawa Ku,"$4,700.00",Entire home/apt,2,1 bath,1.0,2.0,4.66,35.70157,139.84156,長崎県 対馬市 湊
155,Hino Shi,"$6,400.00",Entire home/apt,3,1 bath,1.0,4.0,4.62,35.68521,139.39257,長崎県 対馬市 湊
156,Taito Ku,"$29,829.00",Entire home/apt,4,1 bath,1.0,2.0,4.97,35.70511,139.79276,長崎県 対馬市 湊
