,district,address,info,date,full name,latitude,longitude
33,新宿区,東京都新宿区歌舞伎町二丁目18,不動産業者より告知物件との報告有,2022年5月頃,東京都 新宿区 歌舞伎町 二丁目 18番,35.69724655151367,139.7051544189453
34,新宿区,東京都新宿区歌舞伎町二丁目18-5 プラ－ズタワ－東新宿 ［14階/1410号室］，16階,告知事項あり,不明,東京都 新宿区 歌舞伎町 二丁目 18番 5号,35.6972770690918,139.70492553710938
35,新宿区,東京都新宿区歌舞伎町二丁目5パークネット歌舞伎町第3駐車場,死体遺棄,平成29年2月15日,東京都 新宿区 歌舞伎町 二丁目 5番,35.69697570800781,139.70628356933594
36,新宿区,東京都新宿区歌舞伎町二丁目28-8ホテルアランド,死体発見,平成29年12月5日,東京都 新宿区 歌舞伎町 二丁目 28番 8号,35.696571350097656,139.70298767089844
37,新宿区,東京都新宿区歌舞伎町二丁目2-6 ライオンズマンション歌舞伎町第2-701,転落死,平成25年2月10日,東京都 新宿区 歌舞伎町 二丁目 2番 6号,35.6959228515625,139.70640563964844
38,新宿区,東京都新宿区歌舞伎町二丁目9−１５,401号、病死,26年5月,東京都 新宿区 歌舞伎町 二丁目 9番 15号,35.69561767578125,139.7056427001953
39,新宿区,東京都新宿区歌舞伎町二丁目22-10,自殺,平成30年10月2日,東京都 新宿区 歌舞伎町 二丁目 22番 10号,35.69622039794922,139.70408630371094
40,新宿区,東京都新宿区歌舞伎町二丁目8,"ホテルから飛び降り自殺
最上ビルとホテルの間で死亡。",平成25年1月15日,東京都 新宿区 歌舞伎町 二丁目 8番,35.695068359375,139.7058563232422
41,新宿区,東京都新宿区歌舞伎町二丁目11-15ホテルイマージュ506,硫化水素自殺,平成20年5月19日,東京都 新宿区 歌舞伎町 二丁目 11番 15号,35.69586563110352,139.7051239013672
42,新宿区,東京都新宿区歌舞伎町二丁目20-17朝日新宿館5F,湊□クリニック手術ミスによる患者死亡（現在は閉院）,2012年某月,東京都 新宿区 歌舞伎町 二丁目 20番 17号,35.69733047485352,139.7045135498047
43,新宿区,東京都新宿区歌舞伎町二丁目40-1レディース510,死体発見,平成23年3月1日,東京都 新宿区 歌舞伎町 二丁目 40番 1号,35.69716262817383,139.702392578125
44,新宿区,東京都新宿区歌舞伎町二丁目27-4,前のホテルだった頃、女性の遺体発見,7年前ぐらい？,東京都 新宿区 歌舞伎町 二丁目 27番 4号,35.695762634277344,139.702880859375
45,新宿区,東京都新宿区歌舞伎町二丁目28-11ホテルまつき1階-2階間踊り場,火災による死亡,平成28年1月7日,東京都 新宿区 歌舞伎町 二丁目 28番 11号,35.696590423583984,139.70343017578125
46,新宿区,東京都新宿区歌舞伎町二丁目1-11,無理心中 ．,令和3年4月16日,東京都 新宿区 歌舞伎町 二丁目 1番 11号,35.69517135620117,139.7067413330078
47,新宿区,東京都新宿区歌舞伎町二丁目9-17,車両事故死,平成29年8月19日,東京都 新宿区 歌舞伎町 二丁目 9番 17号,35.69535446166992,139.70558166503906
48,新宿区,東京都新宿区新宿六丁目27-20 ダイヤモンドレジデンス新宿,1階 101号室 2018年11月10日 告知事項有り,平成30年11月10日,東京都 新宿区 新宿 六丁目 27番 20号,35.69534683227539,139.7074737548828
49,台東区,東京都台東区東上野三丁目15-12,告知事项あり,2019年,東京都 台東区 東上野 三丁目 15番 12号,35.71076583862305,139.77871704101562
