,区分,n,対策あり層(%),対策なし層(%),無回答(%)
0,全体,1058,16.0,83.3,0.8
1,アジア,790,17.8,81.4,0.8
2,北米,102,15.7,83.3,1.0
3,ヨーロッパ,135,8.1,91.1,0.7
4,オセアニア,30,3.3,96.7,0.0
5,その他,1,0.0,100.0,0.0
