,学校名,学級数（学級）,生徒数１年（人）,生徒数２年（人）,生徒数３年（人）,生徒数計（人）
0,三宅村立三宅中学校,4,11.0,11.0,9.0,31.0
1,三宅村立三宅中学校特別支援学級（固定級）,1,,,,
2,御蔵島村立御蔵島中学校,3,3.0,3.0,1.0,7.0
