,学科１,学科２,１学年男（人）,１学年女（人）,１学年計（人）,２学年男（人）,２学年女（人）,２学年計（人）,３学年男（人）,３学年女（人）,３学年計（人）,合計男（人）,合計女（人）,合計計（人）
0,普通科,,3,1,4,4,1,5,4,4,8,11,6,17
1,併合科,農業,2,0,2,0,1,1,1,0,0,3,1,4
2,併合科,家政,0,0,0,0,0,0,0,0,0,0,0,0
3,計,,5,1,6,4,2,6,5,4,9,14,7,21
