,区分１,都支援センター（件）,区市町村（件）,警視庁（件）
0,年,7300,-,904
1,平成１５（２００３）年度,9127,11164,1041
2,平成１６（２００４）年度,9511,13134,1328
3,平成１７（２００５）年度,9766,13666,1575
4,平成１８（２００６）年度,8812,14433,1873
5,平成１９（２００７）年度,8606,16061,2118
6,平成２０（２００８）年度,8704,19155,2608
7,平成２１（２００９）年度,10330,21699,2882
8,平成２２（２０１０）年度,9442,23462,2553
9,平成２３（２０１１）年度,8942,24693,2449
10,平成２４（２０１２）年度,9116,26547,2756
11,平成２５（２０１３）年度,9166,28110,3152
12,平成２６（２０１４）年度,8719,31094,3967
13,平成２７（２０１５）年度,9917,34652,5260
