,区分,調査数,テレビ,友人・知人等との会話から,Webサイト,Facebook・Twitter等のSNS,タブレット・スマートフォン,新聞・雑誌,個人のブログ,ラジオ,その他,特に情報収集はしていない,Unnamed: 12
0,全体,1058.0,365.0,233.0,232.0,162.0,162.0,77.0,28.0,22.0,20.0,348.0,4
1,全体(%),100.0,34.5,22.0,21.9,15.3,15.3,7.3,2.6,2.1,1.9,32.9,0.4
2,110番を知っている,683.0,192.0,143.0,144.0,96.0,90.0,39.0,20.0,12.0,17.0,251.0,4
3,110番を知っている(%),100.0,28.1,20.9,21.1,14.1,13.2,5.7,2.9,1.8,2.5,36.7,0.6
4,110番を知っていない,368.0,168.0,87.0,87.0,65.0,69.0,37.0,8.0,10.0,3.0,97.0,-
5,110番を知っていない(%),100.0,45.7,23.6,23.6,17.7,18.8,10.1,2.2,2.7,0.8,26.4,-
