,従属・説明変数,万引き／オッズ比,万引き／S.E.,万引き／z,万引き／95%信頼区間,Unnamed: 5,Unnamed: 6
0,配偶者等との同居ダミー,0.43,0.2,-1.85,"(0.18,1.05)",,
1,子供・孫との同居ダミー,0.35,0.16,-2.26,"(0.14,0.87)",,
2,家族による情報面でのサポート,0.44,0.16,-2.29,"(0.21,0.92)",,
3,定数,3.78,1.49,3.39,"(1.75,8.18)",,
4,R2(Cox&Snell),0.17,,,,,
5,R2(Nagelkerke),0.23,,,,,
6,N,108,,,,,
7,モデルのカイ2乗検定,p<0.001,,,,,
