,区分,n,非常に安心(%),安心(%),不安(%),非常に不安(%),無回答(%)
0,全体,1058,17.5,49.3,29.4,3.2,0.6
1,対策あり層,243,23.0,50.6,23.9,2.5,0.0
2,対策なし層,792,16.0,49.2,30.9,3.4,0.4
