,Unnamed: 0,20年度,21年度,22年度,24年度,25年度
0,中学校男子体力合計点平均,38.59,38.51,38.66,40.16,39.5
1,中学校女子体力合計点平均,45.21,45.01,45.78,47.61,46.21
2,中学校男子都道府県順位,44.0,46.0,46.0,41.0,47.0
3,中学校女子都道府県順位,42.0,43.0,41.0,33.0,44.0
