,年月,三池港定期船回数（回）,三池港定期船トン数（トン）,三池港臨時船回数（回）,三池港臨時船トン数（トン）,三池港計回数（回）,三池港計トン数（トン）,阿古漁港定期船回数（回）,阿古漁港定期船トン数（トン）,阿古漁港臨時船回数（回）,阿古漁港臨時船トン数（トン）,阿古漁港計回数（回）,阿古漁港計トン数（トン）,伊ヶ谷漁港定期船回数（回）,伊ヶ谷漁港定期船トン数（トン）,伊ヶ谷漁港臨時船回数（回）,伊ヶ谷漁港臨時船トン数（トン）,伊ヶ谷漁港計回数（回）,伊ヶ谷漁港計トン数（トン）,御蔵島港定期船回数（回）,御蔵島港定期船トン数（トン）,御蔵島港臨時船回数（回）,御蔵島港臨時船トン数（トン）,御蔵島港計回数（回）,御蔵島港計トン数（トン）
0,4,18,"101,569",7,"3,301",25,"104,870",25,"142,025",14,"4,375",39,"146,400",16,"88,829",13,"5,868",29,"94,697",36,"203,138",7,"2,733",43,"205,871"
1,5,14,"78,156",3,"1,390",17,"79,546",39,"214,669",13,"5,045",52,"219,714",7,"39,767",8,"3,688",15,"43,455",51,"281,463",7,"2,983",58,"284,446"
2,6,15,"81,081",9,"4,071",24,"85,152",37,"191,594",8,"3,193",45,"194,787",2,"11,362",5,"2,266",7,"13,628",42,"220,688",10,"4,454",52,"225,142"
3,7,32,"181,792",5,"2,296",37,"184,088",21,"119,301",10,"3,024",31,"122,325",8,"45,448",9,"4,158",17,"49,606",46,"261,326",6,"1,971",52,"263,297"
4,8,42,"238,602",12,"5,569",54,"244,171",5,"28,405",4,"1,090",9,"29,495",6,"34,086",8,"3,634",14,"37,720",44,"249,964",5,"2,037",49,"252,001"
5,9,16,"90,896",5,"2,278",21,"93,174",26,"147,706",14,"4,979",40,"152,685",12,"68,172",10,"4,586",22,"72,758",44,"249,964",7,"2,431",51,"252,395"
6,10,8,"45,448",2,920,10,"46,368",24,"134,966",9,"3,127",33,"138,093",20,"110,864",9,"4,246",29,"115,110",31,"171,977",8,"3,154",39,"175,131"
7,11,20,"112,931",4,"1,840",24,"114,771",30,"168,363",13,"5,230",43,"173,593",7,"38,389",10,"4,542",17,"42,931",32,"179,036",5,"2,037",37,"181,073"
8,12,23,"125,840",5,"2,339",28,"128,179",25,"142,025",10,"3,850",35,"145,875",10,"56,121",6,"2,628",16,"58,749",28,"159,068",6,"2,234",34,"161,302"
9,1,17,"95,199",2,920,19,"96,119",12,"68,172",11,"4,375",23,"72,547",17,"95,199",4,"1,774",21,"96,973",19,"105,872",5,"1,774",24,"107,646"
10,2,22,"124,982",6,"2,738",28,"127,720",10,"56,810",9,"2,648",19,"59,458",19,"107,939",11,"4,906",30,"112,845",20,"113,620",8,"2,895",28,"116,515"
11,3,23,"130,663",8,"3,719",31,"134,382",16,"90,896",6,"2,277",22,"93,173",14,"79,534",7,"3,164",21,"82,698",27,"153,387",6,"2,499",33,"155,886"
12,合計,250,"1,407,159",68,"31,381",318,"1,438,540",270,"1,504,932",121,"43,213",391,"1,548,145",138,"775,710",100,"45,460",238,"821,170",420,"2,349,503",80,"31,202",500,"2,380,705"
13,31,250,"1,407,159",68,"31,381",318,"1,438,540",270,"1,504,932",121,"43,213",391,"1,548,145",138,"775,710",100,"45,460",238,"821,170",420,"2,349,503",80,"31,202",500,"2,380,705"
14,30,317,"1,780,207",109,"50,687",426,"1,830,894",262,"1,471,886",119,"45,459",381,"1,517,345",99,"554,840",83,"38,011",182,"592,851",429,"2,410,967",82,"35,444",511,"2,446,411"
15,29,291,"1,633,879",124,"58,364",415,"1,692,243",283,"1,582,230",122,"43,803",405,"1,626,033",89,"501,475",74,"35,040",163,"536,515",475,"2,663,336",88,"34,641",563,"2,697,977"
16,28,219,"1,232,426",97,"46,349",316,"1,278,775",300,"1,682,252",156,"56,651",456,"1,738,903",150,"840,437",138,"63,341",288,"903,778",471,"2,644,057",150,"60,846",621,"2,704,903"
17,27,232,"1,298,700",118,"67,594",350,"1,366,294",298,"1,648,153",134,"51,258",432,"1,699,411",152,"857,311",111,"50,435",263,"907,746",497,"2,768,337",95,"38,208",592,"2,806,545"
18,26,297,"1,590,577",137,"74,198",434,"1,664,775",294,"1,562,510",145,"67,462",439,"1,629,972",78,"430,230",89,"41,828",167,"472,058",481,"2,549,576",89,"51,418",570,"2,600,994"
19,25,278,"1,226,076",123,"54,025",401,"1,280,101",273,"1,246,161",156,"55,941",429,"1,302,102",114,"543,678",86,"37,290",200,"580,968",440,"1,964,325",84,"28,692",524,"1,993,017"
