,交通機関,島名,１５（人）,１５（％）,１６（人）,１６（％）,１７（人）,１７（％）
0,航空機,三宅島,0,,0,,2722,5.0
1,航空機,御蔵島,2161,24.1,2528,25.8,2108,20.2
2,船舶,三宅島,0,,0,,51835,95.0
3,船舶,御蔵島,6791,75.9,7282,74.2,8308,79.8
4,計,三宅島,0,,0,,54557,100.0
5,計,御蔵島,8952,100.0,9810,100.0,10416,100.0
