,子育てひろばの種別,平成１３（２００１）年,平成１４（２００２）年,平成１５（２００３）年,平成１６（２００４）年,平成１７（２００５）年,平成１８（２００６）年,平成１９（２００７）年,平成２０（２００８）年,平成２１（２００９）年,平成２２（２０１０）年,平成２３（２０１１）年,平成２４（２０１２）年,平成２５（２０１３）年,平成２６（２０１４）年,平成２７（２０１５）年
0,子育てひろばＡ型（箇所）,292.0,300.0,310.0,347.0,361.0,414.0,473.0,518.0,494.0,524.0,544.0,556.0,,,
1,子育てひろばＢ型（箇所）,9.0,10.0,19.0,24.0,33.0,49.0,53.0,65.0,71.0,79.0,85.0,83.0,,,
2,Ｃ型（つどいの広場）（箇所）,,,2.0,2.0,24.0,64.0,84.0,105.0,122.0,132.0,142.0,159.0,,,
3,都単独型（Ｈ２５以降）（箇所）,,,,,,,,,,,,,532.0,521.0,495.0
4,一般型（Ｈ２５以降）（箇所）,,,,,,,,,,,,,186.0,268.0,287.0
5,地域機能強化型（Ｈ２５以降）（箇所）,,,,,,,,,,,,,56.0,,
6,連携型（Ｈ２５以降）（箇所）,,,,,,,,,,,,,34.0,51.0,89.0
7,合計（箇所）,301.0,310.0,331.0,373.0,418.0,527.0,610.0,688.0,687.0,735.0,771.0,798.0,808.0,840.0,871.0
