,”N“x,‚æ‚­‚ ‚é(%),‚Æ‚«‚Ç‚«‚ ‚é(%),‚Ù‚Æ‚ñ‚Ç‚È‚¢(%),‚Ü‚Á‚½‚­‚È‚¢(%),–³‰ñ“š(%)
0,24,1.1,8.5,41.8,47.7,1.0
1,19,0.9,9.1,39.9,49.1,1.0
2,14,1.3,9.2,36.5,50.4,2.6
3,9,1.4,9.4,29.0,59.3,1.0
