,区分,０歳～１８歳までの児童数（人）,総人口に対する児童数の比率（％）,保育所入所対象児（三宅は１歳～５歳）（御蔵は３歳～５歳）入所児（人）,保育所入所対象児（三宅は１歳～５歳）（御蔵は３歳～５歳）未入所児（人）,小学校児童（人）,中学校生徒（人）,高校生徒（人）,施設入所（学）児（人）,０歳～１歳まで（人）
0,三宅村,245,9.6,53,30,76,28,37,2,15
1,御蔵島村,57,18.8,25,0,16,2,0,0,11
2,計,302,10.6,78,30,92,30,37,2,26
