,区分,三宅村神着,三宅村伊豆,三宅村伊ヶ谷,三宅村阿古,三宅村坪田,三宅村島外,御蔵島,合計
0,世帯,6,7,2,41,7,9,0,72
1,人員,7,7,3,55,7,11,0,90
