,地区１,地区２,１トン未満（隻）,１～３トン（隻）,３～５トン（隻）,５～１０トン（隻）,１０トン以上（隻）,計（隻）
0,三宅村,阿古,2,12,7,14,9,44
1,三宅村,伊ヶ谷,13,6,0,0,0,19
2,三宅村,伊豆,10,2,2,0,0,14
3,三宅村,神着,16,13,4,1,1,35
4,三宅村,坪田,3,1,0,6,3,13
5,三宅村,計,44,34,13,21,13,125
6,御蔵島村,,19,15,0,1,0,35
7,計,,63,49,13,22,13,160
