,区分,神着（箇所）,伊豆（箇所）,伊ヶ谷（箇所）,阿古（箇所）,坪田（箇所）,小計（箇所）,御蔵島（箇所）,合計（箇所）
0,総数,54.0,20.0,6.0,67.0,39.0,186,43.0,229
1,飲食店営業（旅館・ホテル以外）,12.0,6.0,3.0,21.0,13.0,55,8.0,63
2,飲食店営業（旅館・ホテル）,7.0,1.0,2.0,16.0,9.0,35,10.0,45
3,喫茶店営業,1.0,,,1.0,,2,,2
4,菓子製造業,4.0,1.0,0.0,4.0,1.0,10,7.0,17
5,乳類販売業,6.0,2.0,0.0,4.0,3.0,15,3.0,18
6,食肉販売業,5.0,1.0,0.0,3.0,3.0,12,2.0,14
7,魚介類販売業,3.0,1.0,0.0,5.0,3.0,12,3.0,15
8,魚介類せり売営業,,,,1.0,,1,,1
9,食品の冷蔵業,,,,,,0,1.0,1
10,清涼飲料水製造業,,,,,,0,1.0,1
11,氷雪製造業,,,,,,0,1.0,1
12,氷雪販売業,,,,2.0,,2,,2
13,酒類製造業,1.0,,,,,1,,1
14,豆腐製造業,,,,,1.0,1,,1
15,そうざい製造業,2.0,,,3.0,1.0,6,,6
16,製菓材料等製造業,,,,,,0,1.0,1
17,粉末食品製造業,,2.0,,,,2,1.0,3
18,調味料等製造業,1.0,1.0,,,,2,,2
19,魚介類加工業,3.0,1.0,,,1.0,5,1.0,6
20,食料品等販売業,6.0,2.0,1.0,7.0,3.0,19,2.0,21
21,卵選別包装業,3.0,,,0.0,,3,,3
22,給食施設（届出）,,2.0,,,1.0,3,2.0,5
