,種別,学校名,校長,副校長,主幹教諭,主幹教諭(養護),主任教諭,主任養護教諭,教諭,養護教諭,小計,指導主事,産育代教諭,事務栄養士,計,非常勤等
0,小学校,三宅村立三宅小学校,1.0,1,1,0,3,1,9,0.0,16,1.0,1,2,20,0
1,小学校,御蔵島村立御蔵島小学校,1.0,1,2,0,3,0,2,1.0,10,,1,1,12,0
2,小学校,計,2.0,2,3,0,6,1,11,1.0,26,1.0,2,3,32,0
3,中学校,三宅村立三宅中学校,1.0,1,1,0,5,1,7,0.0,16,,0,1,17,1
4,中学校,御蔵島村立御蔵島中学校,,1,2,0,3,0,6,,12,,1,1,14,1
5,中学校,計,1.0,2,3,0,8,1,13,0.0,28,,1,2,31,2
6,合計,,3.0,4,6,0,14,2,24,1.0,54,1.0,3,5,63,2
