,世帯,平成１４（２００２）年度,平成１７（２００５）年度,平成２２（２０１０）年度
0,全世帯（万円）,589.3,563.8,538.0
1,父子世帯（万円）,390.0,421.0,455.0
2,母子世帯（万円）,212.0,213.0,291.0
