,”N“x,‚æ‚­‚ ‚é(%),‚Æ‚«‚Ç‚«‚ ‚é(%),‚Ù‚Æ‚ñ‚Ç‚È‚¢(%),‚Ü‚Á‚½‚­‚È‚¢(%),–³‰ñ“š(%)
0,24,87.3,10.9,0.7,0.4,0.7
1,19,86.3,11.9,0.4,0.5,0.9
2,14,83.3,13.6,0.6,0.4,2.1
