,”N“x,‚æ‚­‚ ‚é(%),‚Æ‚«‚Ç‚«‚ ‚é(%),‚Ù‚Æ‚ñ‚Ç‚È‚¢(%),‚Ü‚Á‚½‚­‚È‚¢(%),–³‰ñ“š(%)
0,19,1.8,24.0,39.3,34.4,0.5
1,14,2.1,23.3,41.2,32.8,0.6
2,9,0.9,16.8,33.4,48.9,0.1
