,区分,n,非常に安心(%),安心(%),不安(%),非常に不安(%)
0,全体,1127,15.7,35.5,42.1,6.7
1,対策あり層,841,17.1,36.4,41.7,4.8
2,対策なし層,273,10.3,33.7,43.2,12.8
