,地区別,建設業（人）,製造業（人）,卸・小売業（人）,金融保険業（人）,運輸通信業（人）,電気・ガス水道業（人）,サービス業（人）,その他（人）,計（人）
0,神着,5,6,18,2,4,0,18,2,55
1,伊豆,3,2,5,0,2,1,5,0,18
2,伊ヶ谷,1,1,2,0,0,0,4,1,9
3,阿古,19,2,30,0,4,0,41,2,98
4,坪田,11,4,23,0,2,0,29,1,70
5,三宅村計,39,15,78,2,12,1,97,6,250
6,御蔵島村,2,1,6,0,0,0,25,0,34
7,合計,41,16,84,2,12,1,122,6,284
