,"私は、家庭での生活で幸せを感じることは少ない
",クラスタ1,クラスタ1割合(%),クラスタ2,クラスタ2割合(%),合計,合計割合(%)
0,思う,9,24.3,10,58.8,19,35.2
1,どちらともいえない,8,21.6,3,17.6,11,20.4
2,思わない,20,54.1,4,23.5,24,44.4
3,合計,37,100.0,17,100.0,54,100.0
