,従属・説明変数,万引き／オッズ比,万引き／S.E.,万引き／z,万引き／95%信頼区間,Unnamed: 5,Unnamed: 6
0,友人・知人による情緒的サポート,0.85,0.15,-0.9,"(0.59,1.21)",,
1,定数,1.15,0.28,0.56,"(0.71,1.85)",,
2,R2(Cox&Snell),0.01,,,,,
3,R2(Nagelkerke),0.01,,,,,
4,N,108,,,,,
5,モデルのカイ2乗検定,p<0.01,,,,,
