,気付いたら万引きをしていたということがあるものだ,被疑者65歳未満／男(N=30)(%),被疑者65歳未満／女(N=36)(%),被疑者65歳以上／男(N=23)(%),被疑者65歳以上／女(N=31)(%),一般65歳以上／男(N=624)(%),一般65歳以上／女(N=606)(%)
0,思う,43.3,16.7,73.9,32.3,9.9,6.9
1,どちらともいえない,30.0,22.2,8.7,29.0,15.9,15.2
2,思わない,26.7,61.1,17.4,38.7,74.2,77.9
