,Unnamed: 0,1.電話で通報,2.交番に行く・連絡する,3.大使館へ連絡・相談する,4.家族へ連絡・相談する,5.友人・知人へ連絡・相談する,6.日本の知人に連絡・相談する,7.その他,8.わからない
0,a.窃盗,1,2,3,4,5,6,7,8
1,b.傷害,1,2,3,4,5,6,7,8
2,c.殺人,1,2,3,4,5,6,7,8
3,d.交通犯罪(加害:自ら運転中等),1,2,3,4,5,6,7,8
4,e.交通犯罪(被害:交通事故に遭う等),1,2,3,4,5,6,7,8
5,f.サイバー犯罪の被害,1,2,3,4,5,6,7,8
6,g.テロ,1,2,3,4,5,6,7,8
