,事業名,公単別,事業内容,事業主体,事業費（千円）,負担区分国（千円）,負担区分都（千円）,負担区分村（千円）
0,地域農政推進対策,公,推進活動（農振地域）,三宅村,523,261,-,262
1,農業委員会交付金,公,委員会活動補助,三宅村,12354,1220,-,11134
2,農業委員会交付金,公,委員会活動補助,御蔵島村,10549,640,-,9909
3,農業経営基盤強化措置特別会計事務取扱交付金,公,国有農地管理事務費,三宅村,57,57,-,-
4,離島特別技術指導,単,御蔵島村での技術指導,東京都,456,-,456,-
