,区分,n,対策あり層(%),対策なし層(%),無回答(%)
0,火災,1127,89.4,9.7,0.9
1,地震,1127,95.2,4.5,0.3
2,津波,1127,86.4,12.8,0.8
3,台風,1127,81.3,18.4,0.4
4,集中豪雨,1127,74.6,24.4,1.0
5,落雷,1127,68.8,30.3,1.0
6,竜巻,1127,74.6,24.2,1.2
7,猛暑・熱中症,1127,75.3,24.0,0.7
8,大雪,1127,74.2,25.2,0.6
9,テロ,1127,76.0,23.7,0.4
10,その他,1127,24.4,69.2,6.4
