,”N“x,‚æ‚­‚ ‚é(%),‚Æ‚«‚Ç‚«‚ ‚é(%),‚Ù‚Æ‚ñ‚Ç‚È‚¢(%),‚Ü‚Á‚½‚­‚È‚¢(%),–³‰ñ“š(%)
0,24,49.1,44.2,5.1,0.9,0.7
1,19,63.6,32.1,2.7,0.8,0.9
2,14,48.0,42.8,5.7,1.3,2.2
3,9,44.1,47.7,5.8,1.9,0.5
