,年度,三宅管内隻数,三宅管内トン数,三宅管内馬力数（ＰＳ）,平均トン数,平均馬力数（ＰＳ）
0,14,200,689.05,10819,3.45,54
1,15,183,610.31,9730,3.34,53
2,16,185,612.51,9882,3.31,53
3,17,160,534.66,9402,3.34,59
