,”N“x,‚æ‚­‚ ‚é(%),‚Æ‚«‚Ç‚«‚ ‚é(%),‚Ù‚Æ‚ñ‚Ç‚È‚¢(%),‚Ü‚Á‚½‚­‚È‚¢(%),–³‰ñ“š(%)
0,24,55.6,39.3,4.5,0.3,0.4
1,19,52.6,42.7,4.0,0.3,0.3
2,14,47.4,43.3,8.2,0.6,0.5
3,9,47.4,43.3,8.2,0.6,0.5
