,場所,強制性交等
0,中高層（４階建以上）住宅,27%
1,一戸建住宅,4%
2,その他の住宅,19%
3,ホテル・ラブホテル等,26%
4,都市公園,2%
5,道路上,2%
6,その他,21%
7,合計,100%
