,調査数,日本語教室、学習支援,交流会やお祭り等のイベント,多言語による相談窓口の開設,災害に関するセミナーや支援活動,通訳訓練、通訳手配,その他のセミナーや支援活動,医療(感染症対策等)に関するセミナーや支援活動,防犯に関するセミナーや支援活動,その他
0,1127.0,739.0,326.0,301.0,188.0,159.0,114.0,95.0,86.0,188.0
1,100.0,65.6,28.9,26.7,16.7,14.1,10.1,8.4,7.6,16.7
