,年度（年）,コジュケイ（羽）,ヤマシギ（羽）,キジ（羽）,カラス（羽）,スズメ（羽）,キジバト（羽）,カモ類（羽）,計（羽）
0,22,0,0,0,3,0,1,0,4
1,23,0,0,0,7,0,2,0,9
2,24,0,0,0,5,0,2,1,8
3,25,0,0,0,3,0,2,0,5
4,26,0,0,0,0,0,0,0,0
5,27,0,0,0,7,0,0,3,10
