,区分,平成３（１９９１）年度,平成４（１９９２）年度,平成５（１９９３）年度,平成６（１９９４）年度,平成７（１９９５）年度,平成８（１９９６）年度,平成９（１９９７）年度,平成１０（１９９８）年度,平成１１（１９９９）年度,平成１２（２０００）年度,平成１３（２００１）年度,平成１４（２００２）年度,平成１５（２００３）年度,平成１６（２００４）年度,平成１７（２００５）年度,平成１８（２００６）年度,平成１９（２００７）年度,平成２０（２００８）年度,平成２１（２００９）年度,平成２２（２０１０）年度,平成２３（２０１１）年度,平成２４（２０１２）年度,平成２５（２０１３）年度,平成２６（２０１４）年度,平成２７（２０１５）年度,平成２８（２０１６）年度
0,国家公務員（％）,0.7,0.7,0.8,0.9,1.0,1.0,1.1,1.1,1.2,1.3,1.4,1.3,1.5,1.7,1.8,2.0,2.1,2.3,2.5,2.6,2.7,2.8,3.2,3.3,3.7,4.3
1,都道府県（％）,3.0,3.1,3.3,3.7,3.7,3.7,4.0,3.8,3.9,4.2,4.3,4.5,4.8,4.9,4.8,5.0,5.1,5.4,5.7,6.0,6.4,6.5,6.8,7.2,8.5,9.3
2,政令指定都市（％）,3.3,3.4,3.7,3.6,3.7,3.9,4.0,4.2,4.6,4.9,5.4,5.9,6.3,6.4,6.6,6.9,7.7,8.2,8.6,9.1,9.8,10.3,11.3,11.8,13.4,14.2
3,市区町村（％）,,,,,,,,,,,,7.0,7.2,7.6,7.8,7.9,8.6,8.9,9.3,9.8,10.4,11.0,12.0,13.1,14.5,15.6
