,調査数,外国語のマニュアルを配布してほしい,避難誘導などわかる言語でしてほしい,避難してどうすれば良いかの行動を示したパンフレット等が欲しい,テレビで英語のテロップ,テレビ等でも英語等で表示してほしい,母国語等での案内サインを設置してほしい,ラジオで英語放送,その他,特にない
0,1127.0,911.0,723.0,590.0,520.0,512.0,471.0,331.0,27.0,26.0
1,100.0,80.8,64.2,52.4,46.1,45.4,41.8,29.4,2.4,2.3
