,区分,２０歳未満（件）,２０～２４歳（件）,２５～２９歳（件）,３０～３４歳（件）,３５～３９歳（件）,４０～４４歳（件）,４５～４９歳（件）,総数（件）
0,平成２（１９９０）年度,32431,86367,79205,98232,101705,54924,3753,456797
1,平成７（１９９５）年度,26117,79712,65727,68592,65470,33586,3734,343024
2,平成１２（２０００）年度,44477,82598,72626,61836,53078,24117,2287,341146
3,平成１７（２００５）年度,30119,72217,59911,59748,46038,19319,1663,289127
4,平成１８（２００６）年度,27367,68563,57698,57516,45856,17725,1572,276352
5,平成１９（２００７）年度,23985,62523,54653,52718,44161,17145,1447,256672
6,平成２０（２００８）年度,22835,56415,51719,49461,43385,17065,1378,242292
7,平成２１（２００９）年度,21192,50627,47952,45152,40917,16247,1274,223405
8,平成２２（２０１０）年度,20357,47089,45724,42206,39964,15983,1334,212694
9,平成２３（２０１１）年度,20903,44087,42708,39917,37648,15697,1108,202106
10,平成２４（２０１２）年度,20659,43269,40900,38362,36112,16133,1163,196639
11,平成２５（２０１３）年度,19359,40268,37999,36757,34115,16477,1237,186253
12,平成２６（２０１４）年度,17854,39851,36594,36621,33111,16558,1281,181905
13,平成２７（２０１５）年度,16113,39430,35429,35884,31765,16368,1340,176368
