,Unnamed: 0,óùëz(%),åªé¿(%)
0,0:1,0.2,0.1
1,1:9,0.1,0.2
2,2:8,0.2,0.5
3,3:7,0.9,0.7
4,4:6,1.2,0.5
5,5:5,20.7,4.5
6,6:4,30.5,7.8
7,7:3,28.7,17.7
8,8:2,11.2,29.9
9,9:1,2.2,29.7
10,10:0,0.3,4.7
11,ñ≥âÒìö,3.7,3.7
