,区分,調査数,Webサイト、インターネット,テレビ、ラジオ,新聞、パンフレット、ガイドブック等の紙媒体,市役所・区役所等からの情報(冊子、HP含む),家族、知人、友人等,Facebook・twitter等のSNS,学校・セミナー等,駅や街、商業施設のサイン、インフォメーション,大使館等,災害速報等のサービス,多言語サービス,携帯電話,タブレット・スマートフォンによるアプリ,交番,その他,特になし,無回答
0,全体,1127.0,333.0,303.0,82.0,77.0,75.0,68.0,19.0,18.0,11.0,10.0,8.0,6.0,5.0,4.0,53.0,53.0,61.0
1,全体(%),100.0,29.5,26.9,7.3,6.8,6.7,6.0,1.7,1.6,1.0,0.9,0.7,0.5,0.4,0.4,4.7,4.7,5.4
