,村別,総数,１ｈａ未満,１～５ｈａ,５～２０ｈａ,２０～５０ｈａ,５０ｈａ以上
0,三宅村（人）,2394,1825.0,469.0,93.0,3.0,4.0
1,三宅村（％）,100,76.2,19.5,4.0,0.1,0.2
2,御蔵島村（人）,29,6.0,8.0,6.0,4.0,5.0
3,御蔵島村（％）,100,20.7,27.6,20.7,13.8,17.2
4,計（人）,2423,1831.0,477.0,99.0,7.0,9.0
5,計（％）,100,75.6,19.7,4.0,0.3,0.4
