,”N“x,‚æ‚­‚ ‚é(%),‚Æ‚«‚Ç‚«‚ ‚é(%),‚Ù‚Æ‚ñ‚Ç‚È‚¢(%),‚Ü‚Á‚½‚­‚È‚¢(%),–³‰ñ“š(%)
0,24,77.1,19.7,1.7,0.8,0.7
1,19,71.4,25.6,1.6,0.7,0.8
2,14,75.4,21.2,1.2,0.4,2.0
3,9,58.5,36.4,3.9,0.7,0.5
