,万引きが起きるのは、店にも原因がある,クラスタ1,クラスタ1割合(%),クラスタ2,クラスタ2割合(%),合計,合計割合(%)
0,思う／どちらともいえない,3,8.1,13,76.5,16,29.6
1,思わない,34,91.9,4,23.5,38,70.4
2,合計,37,100.0,17,100.0,54,100.0
