,区分,n,非常に安心(%),安心(%),不安(%),非常に不安(%)
0,全体,1127,15.7,35.5,42.1,6.7
1,対策あり層,1073,15.6,36.0,42.1,6.3
2,対策なし層,51,15.7,25.5,45.1,13.7
