,区分,n,非常に安心(%),安心(%),不安(%),非常に不安(%),無回答(%)
0,全体,1058,17.5,49.3,29.4,3.2,0.6
1,対策あり層,313,20.8,51.4,26.2,1.6,0.0
2,対策なし層,722,16.5,48.8,30.6,3.7,0.4
