,区分,設立（年月日）,組合員数正（人）,組合員数准（人）,組合員数計（人）,役員数理事（人）,組合員数監事（人）,職員数（人）
0,三宅島漁業協同組合,４５．１２．１６,35,334,369,5,2,6
1,御蔵島村漁業協同組合,２５．　２．　６,21,58,79,5,2,3
