,地区,区分,生活,住宅,教育,介護,医療,出産,生業,葬祭
0,三宅村,世帯,52,38,2,17,54,0,1,0
1,三宅村,人員,61,45,3,17,64,0,1,0
2,御蔵島村,世帯,0,0,0,0,0,0,0,0
3,御蔵島村,人員,0,0,0,0,0,0,0,0
4,合計,世帯,52,38,2,17,54,0,1,0
5,合計,人員,61,45,3,17,64,0,1,0
