,年度,区分,修学資金,修学支度資金,住宅資金,事業開始資金,計
0,17,貸付件数（件）,1,0,0,0,1
1,17,貸付金額（円）,216000,0,0,0,216000
2,累計,貸付件数（件）,3,1,0,0,4
3,累計,貸付現在高（円）,2070000,184990,0,0,2254990
