,Unnamed: 0,1.非常に安心,2.安心,3.不安,4.非常に不安
0,a.窃盗,1,2,3,4
1,b.傷害,1,2,3,4
2,c.殺人,1,2,3,4
3,d.交通犯罪(加害:自ら運転中等),1,2,3,4
4,e.交通犯罪(被害:交通事故に遭う等),1,2,3,4
5,f.サイバー犯罪の被害,1,2,3,4
6,g.テロ,1,2,3,4
