,区分,n,非常に安心(%),安心(%),不安(%),非常に不安(%),無回答(%)
0,全体,1058,17.5,49.3,29.4,3.2,0.6
1,対策あり層,436,18.3,48.4,30.3,3.0,0.0
2,対策なし層,603,17.2,50.2,28.5,3.5,0.5
