,種類,分類,種目,数量１,数量２（ｍ２）,価格（円）
0,土地,行政財産,三宅支庁職員公舎敷地（ヶ所）,4.0,5709.91,12281000
1,土地,行政財産,三宅支庁庁舎敷地（ヶ所）,1.0,10620.68,13330000
2,土地,普通財産,三宅支庁職員公舎敷地（ヶ所）,2.0,6527.1,52525000
3,小計,,,7.0,22857.69,78136000
4,建物,行政財産,事務所建（棟）,2.0,2501.47,430787000
5,建物,行政財産,住宅建（棟）,6.0,2363.54,553558000
6,建物,行政財産,倉庫建（棟）,4.0,708.13,34688000
7,小計,,,12.0,5573.14,1019033000
8,工作物,行政財産,貯槽（個）,1.0,,190000
9,工作物,行政財産,かこい（ｍ）,20.0,,349000
10,小計,,,,,539000
11,立木,行政財産,樹木（本）,5.0,,-
12,小計,,,,,1019572000
