,投票所名１,投票所名２,選挙人名簿（平成２８年９月２日）男（人）,選挙人名簿（平成２８年９月２日）女（人）,選挙人名簿（平成２８年９月２日）計（人）,東京海区漁業調整委員会委員選挙人名簿（平成２７年９月１日）男（人）,東京海区漁業調整委員会委員選挙人名簿（平成２７年９月１日）女（人）,東京海区漁業調整委員会委員選挙人名簿（平成２７年９月１日）計（人）
0,三宅村,神着投票区,313,226,539,24,2,26
1,三宅村,伊豆投票区,130,135,265,13,1,14
2,三宅村,伊ヶ谷投票区,82,58,140,9,0,9
3,三宅村,阿古投票区,428,385,813,30,1,31
4,三宅村,坪田投票区,298,253,551,23,0,23
5,合計,,1251,1057,2308,99,4,103
6,御蔵島村,,135,112,247,55,0,55
