,”N“x,‚æ‚­‚ ‚é(%),‚Æ‚«‚Ç‚«‚ ‚é(%),‚Ù‚Æ‚ñ‚Ç‚È‚¢(%),‚Ü‚Á‚½‚­‚È‚¢(%),–³‰ñ“š(%)
0,24,51.1,36.0,10.3,2.1,0.5
1,19,50.8,37.1,9.6,2.1,0.3
2,14,54.3,34.8,8.8,1.7,0.5
3,9,57.8,33.7,7.7,0.8,0.1
