,区分,ｎ(団体数),ｎ(団体数)／割合(%),P14_４－２現在行っている子供の見守り活動／パトロール中の子供たちへの声かけ活動,P14_４－２現在行っている子供の見守り活動／パトロール中の子供たちへの声かけ活動／割合(%),P14_４－２現在行っている子供の見守り活動／登下校中の時間帯に、通学路に立った安全確保や声かけ活動,P14_４－２現在行っている子供の見守り活動／登下校中の時間帯に、通学路に立った安全確保や声かけ活動／割合(%),P14_４－２現在行っている子供の見守り活動／子供たちを対象としたイベント等の実施,P14_４－２現在行っている子供の見守り活動／子供たちを対象としたイベント等の実施／割合(%),P14_４－２現在行っている子供の見守り活動／見守り活動を行っていない,P14_４－２現在行っている子供の見守り活動／見守り活動を行っていない／割合(%),P14_４－２現在行っている子供の見守り活動／子供たちを対象とした地域安全マップの作製,P14_４－２現在行っている子供の見守り活動／子供たちを対象とした地域安全マップの作製／割合(%),P14_４－２現在行っている子供の見守り活動／子供たちを対象とした防犯講習会等の実施,P14_４－２現在行っている子供の見守り活動／子供たちを対象とした防犯講習会等の実施／割合(%),P14_４－２現在行っている子供の見守り活動／その他,P14_４－２現在行っている子供の見守り活動／その他／割合(%),P14_４－２現在行っている子供の見守り活動／無回答,P14_４－２現在行っている子供の見守り活動／無回答／割合(%),Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
0,全体,1034,100,607,58.7,520,50.3,263,25.4,140,13.5,112,10.8,58,5.6,95,9.2,76,7.4,,,,,,
1,P8_2-1-5_学校／連携している,577,100,391,67.8,381,66.0,191,33.1,49,8.5,88,15.3,43,7.5,51,8.8,22,3.8,,,,,,
2,P8_2-1-5_学校／連携していない,171,100,83,48.5,47,27.5,23,13.5,43,25.1,2,1.2,0,0.0,18,10.5,14,8.2,,,,,,
3,P8_2-1-4_ＰＴＡ／連携している,455,100,311,68.4,296,65.1,161,35.4,43,9.5,79,17.4,36,7.9,43,9.5,16,3.5,,,,,,
4,P8_2-1-4_ＰＴＡ／連携していない,234,100,122,52.1,89,38.0,37,15.8,48,20.5,4,1.7,1,0.4,23,9.8,16,6.8,,,,,,
