,管理職,平成７（１９９５）年,平成１０（１９９８）年,平成１２（２０００）年,平成１５（２００３）年,平成１８（２００６）年,平成２１（２００９）年,平成２３（２０１１）年,平成２５（２０１３）年,平成２７（２０１５）年
0,係長相当職以上の女性管理職（役員を含む）（％）,4.7,5.1,5.1,5.8,6.9,8.0,8.7,9.0,10.2
1,部長相当職（％）,1.5,1.2,1.6,1.8,2.0,3.1,4.5,3.6,4.3
2,課長相当職（％）,2.0,2.4,2.6,3.0,3.6,5.0,5.5,6.0,7.0
3,係長相当職（％）,7.3,7.8,7.7,8.2,10.5,11.1,11.9,12.7,13.9
