,科目１,科目２,科目３／年度（年）,２５,２６,２７
0,教育費（千円）,,,27683,35701,26516
1,教育費,教育管理費（千円）,,5155,5092,5582
2,教育費,小中学校費（千円）,,11596,14679,7416
3,教育費,小中学校費,小学校管理費（千円）,6346,6186,4212
4,教育費,小中学校費,中学校管理費（千円）,8333,5410,3203
5,教育費,高等学校費（千円）,,99,59,46
6,教育費,福利厚生費（千円）,,7135,11648,11425
7,教育費,教育指導奨励費（千円）,,2885,3411,1185
8,教育費,社会教育費（千円）,,813,812,858
