,年度（年）,転用（４条許可）件数（件）,転用（４条許可）面積（ｍ２）,転用のための所有権移転（５条許可）件数（件）,転用のための所有権移転（５条許可）面積（ｍ２）
0,29,0,0,2,"2,030"
1,30,0,0,1,307
2,31,0,0,1,498
