,区分,n,非常に安心(%),安心(%),不安(%),非常に不安(%),無回答(%)
0,全体,1058,17.5,49.3,29.4,3.2,0.6
1,対策あり層,326,21.5,48.5,27.6,2.5,0.0
2,対策なし層,704,16.1,50.1,29.8,3.6,0.4
