,年度（年）,コジュケイ,ヒヨドリ,キジ,カラス,スズメ,キジバト,カモ類,計
0,27,0,0,0,7,0,0,3,10
1,28,1,0,0,11,0,7,0,19
2,29,0,0,0,20,0,5,0,25
3,30,0,7,0,18,0,6,0,31
4,元,0,0,0,0,0,0,0,0
